抛弃,abandon
计算,compte
报告,compte,rendu
打算,compter
把某事看得无所谓,compter,pour,rien
柜台,comptoir
伯爵,comte
安慰,soler
集中,concentration
全神贯注,concentrer
设计者,concepteur
概念,conception
关于,concernant
音乐会,concert
商讨,concertation
协奏曲,concerto
让步,concession
经营权、特许权所有人,concessionnaire
设想,concevoir
看门人,concierge
同胞,concitoyen
作出结论,conclure,dir
结论,conclusion
黄瓜,concombre
协议,concorde
具体的,concret,e
竞争,concurrence
竞争的,concurrencé
与……竞争,concurrencer
竞争者,concurrent
被判刑的,condamné
判刑,condamner
闭门谢客,condamner,sa,porte,à
调味品,condiment
条件,condition
决定,conditionner
吊唁,condoléances,pl
驾驶员,conducteur
驾驭,conduire
导致,conduire,à
带领,conduite
conduite水管
报告会,conférence
讲演人,conférencier,ère
相信,confiance
隐情,confidence
秘密的,confidentiel
委托,confier
确认,confirmation
证实,confirmer
糖果商,confiseur
果酱,confiture
冲突,conflit
舒适,confort
舒适的,confortable
比较,confrontation,对照
使对质,confronter
羞傀的,confus
假期,congé
大会,congrès
结合的,conjoint
夫妇的,conjuga
认识,connaissance
知道,connaître
联接器,connecteur
蠢事,connerie
连接,connexion
默契,connivence
著名的,connu
征服者,conquérant
征服,conquérir
奉献的,consacrée,e
奉献,consacrer
把某物用于……,consacrer,à
有意地,consciemment
劝告,conseil
市政会议,conseil,municipal
建议,conseiller
参议员,conseiller,,ère
同意,consentement
同意,consentir
保守党党员,conservateur
保存,conservation
罐头食品,conserve
保持,conserver
罐头食品厂,conseverie
巨大的,considérable
尊重,considération
察看,considérer
行李寄存处,consigne
巩固,consolider
消费者,consommaleur
消费,consommation
消费,consommer
总是,constamment
坚韧,constance
不变的,constant
笔录,constat
验证,constatation
发觉,constater
组成,constituer
建造,construction
建造,construire
查询,consulter
看医生,consulter,un,médecin
使衰竭,consumer
传染性的,contagieux
传染,contaminer
故事,conte
凝视,contempler
现代的,contemporain
包含,contenir
高兴的,content
内容,contenu
争论,contester
大陆的,continental
份额,contingent
继承者,continuateur
继续,continuer
画轮廓,contourner
收缩,contraction
矛盾,contradiction
强制的,contraignant
强制,contraindre
强迫,contraint
相反的,contraire
相反地,contrairement
与……相反,contrairement,à,ce,que
阻挠．使气恼,contrarier
合同,contrat
保险合同,contrat,d'assurance
罚款,contravention
反对,contre
逆流,contre-courant
反驳,contredire
地方,contrée
工长,contremaître
交换物,contrepartie
相反,contre-pied
对……做出贡献,contribuer
说服,convaincre
康复期,se
合适的,convenable
契合,convenance
适合,convenir
谈话,conversation
宾客,convive
垂涎,convoiter
贪婪,convoitise
召集,convoquer
痉挛,convulsion
合作社,coopérative
伙伴,copain
复制,copier
丰富的,copieux
伙伴,copine
公鸡,coq
虞美人,coquelicot
风骚的,coquet
贝壳类动物,coquillage
贝壳,coquille
无赖,coquin
号角,cor
古兰经,Coran
乌鸦,corbeau
纸篓,corbeille,à,papier
枢车,corbillard
粗索,cordage
绳子,corde
热忱的,cordial
香菜,coriandre
角,corne
醋渍小黄瓜,cornichon
开始,cornmencenient
谅解的．宽容的,cornpréhensif
身体,corps
全心全意地,corps,et,ârne
正确的,correct
通信,correspondance
相符的,correspondant
与……相符,correspondre,à
改正,corriger
海盗,corsaire
,Corse
随从,cortège
美容用的,cosmétique
美容术专家,cosmétologue
强壮的,costaud
男式西服,costume
穿戏装的,costumé
山坡,côte
旁,côté
肋骨,côtelette
分摊,cotisation
肥胖的,cOTpulen
脖子,cou
胆小的,couard
胆怯,couardise
床,couche
coucher躺在床上
卧铺,couchette
肘,coude
缝,coudre
价值,couler
流动,couler
颜色,couleur
汁,coulis
走廊,couloir
擅,coup
一见倾心,coup,de,foudre
一臂之力,coup,de,main
事件发生的戏剧性变化,coup,de,théâtre
瞥一眼,coup,d'oeil
命运的打击,coup,du,sort
犯罪的,coupable
切,coupe
切,couper
一双,couple
院子,cour
勇气,courage
勇敢的,courageux
流利地,couramment
水流,courant
了解情况的,courant,,,être,au-—
穿堂风,courant,d'air
日常的,courant
弯曲的,courbé
使弯曲,courber
赛车手,coureur
南瓜,courge
一种果实呈长形的笋瓜类植物,courgette
跑,courir
戴冠的,couronné
邮件,courrier
电子邮件,courrier,électronique
皮带,courroie
愤怒,courroux
期间,cours
选修课,cours,à,option
水流,cours,d'eau
跑步,course
采购,courses
跑马,courses,de,chevaux
短的,court-e
朝臣,courtisan
有礼貌的,courtoisie
堂兄弟,cousin
贵的,coûteux
习惯,coutume
缝纫,couture
修道院,couvent
孵,couver
盖子,couvercle
餐具,couvert
被子,couvertfire
社会保险,couverture,sociale
覆盖,couvrir
经常吐痰的人,cracheur
粉笔,craie
害怕,craindre
恐惧,crainte
紧紧抓住……,cramponner
凹口,cran
颅骨,crâne
癞蛤蟆,crapaud
荒淫无耻地,crapuleux
爆裂声,craquement
发出爆裂声,craquer
积满污垢的,crasseux
领带,cravate
白垩的,crayeux
铅笔,crayon
相信,créance
创造者,créateuréatrice
创作,création
创造性,créativité
创作物,créature
幼儿园,crèche
信用,crédit
创作,créer
奶油,crème
乳品点,crémerie
乳品商,crémier,,ère
克里奥尔人,créole
油煎鸡蛋薄饼,crêpe
肉冠,crête
挖掘,creuser
熔炉,creuset
空心的,creux
裂缝,crevasse
使累垮,crever
好叫嚷的,criard
拍卖,criée
叫喊,crier
大声痛骂,crier,haro
喊出自己的建议,crier,ses,conseils
危机,crise
发摩擦声,crissement
标准,critère
关键的,critique
评论,critiquer
鳄鱼,crocodile
相信,croire
窗户,croisée
划线,croisement
使交叉,croiser
增加,croissance
增长的,croissant
生长．增加,croître,v*ir
十字架,croix
火腿干酪夹心面包,croque-monsieur
嚼,croquer
速写,croquis
粪,crotte
要倒塌的,croulant
相信,croyance
残忍,cruauté
生,crudité
立方体,cube
立方体的,cubique
采摘,cueillir
匙,cuillerère
一匙之量,cuillerée
皮革,cuir
烧,cuire
厨房,cuisine
厨师,cuisinier,,ère
烧,cuisson
腿,cuissot
熟的,cuit
铜,cuivre
底部,culot
短裤,culotte
有罪,culpabilité
可耕种的,cultivable
文化,culture
文化的,culturel
神甫,curé
curieux好奇的
好奇,curiosité
脸盆,cuvette
履历
网吧,cybercafé
网友,cybercopain
上网者,cybernaute
周期,cycle
自行车运动,cyclisme
自行车比赛的；骑自行车的人,cycliste
旋风,cyclone
天鹅,cygne
玩世不恭,cynisme
柏,cyprès
首先,d'abord
同意,d'accord
另外,d'ailleurs
夫人,dame
危险,danger
危险的,dangereux
在……里,dans
在……范围内,dans,le,cadre,de
实际上,dans,le,fond
,CV
在某种意义上,dans,le,sens
在……的关心,dans,le,souci,de
从前,dans,le,temps
大体上,dans,l'ensemble
希望,dans,l'espoir,que
过一会儿,dans,quelques,instants
在这一类人中,dans,son,genre
舞蹈,danse
跳舞,danser
根据,d'après
日期,date
海脉,dauphin
比…更加,d'autant,plus,que
更多,davantage
…的,de
乐意地,de,bon,coeur
在每一侧,de,chaque,côté,de
有规律地,de,façon,régulière
事实上,de,fait
求求你,de,grâce
以……的名义,de,la,part,de,prê
以致于……,de,manière,à
越来越少,de,moins,en,moins
由于,de,par
再,de,plus
越来越……,de,plus,en,plus
必需的东西,de,quoi
回来,de,retour,prê
没关系,de,rien
……在世时,de,son,vivant
另外,de,surcroît
不时地,de,temps,en,temps
历来．一向,de,tout,temps
无论如何,de,toute,façon
从……到……,,,à,
溃散,débandade
下,débarquer
清除,débarrasser
辩论,débat
讨论,débatte
放荡,débauche
零售,débit
清理,déblayer
开禁,débloquer
突出,déborder
出口,débouché
通向,déboucher,sur
站着,debout
滚下,débouter
切断．拔掉插头,débrancher
碎片,débris
开始．开端,début
新手,débutant
首次参加,débuter
去掉顶端,décapiter
死亡的,décédé
十二月,décembre
像样地,décemment
十年,décennie
端庄的,décent
失望,déception
死亡,décès
骗人的,décevant
欺瞒,décevoir
低落,déchéance
消耗,déchet
译码,déchiffrer
撕碎,déchiqueter
被撕裂的,déchiré
撕破,déchirer
坚决地,décidément
决定做某事,décider,deindir
决定,décision
申报,déclaration
开动,déclarer
跳间装置,déclencher
快门,déclencheur
衰落,déclin
谢绝,décliner
发射,décocher
起飞,décollage
褪色的,décoloré
瓦砾,décombres
取消,décommander
降压,décompression
令人张皇失措的,déconcertant
不和谐的,déconcerté
放松的,décontracté
装饰,décor
装饰,décoration
装饰,décorer
切开,découpage
切割,découper
使泄气,decourager
透支金额,découvert
发现,découverte
发现,découvrir
衰败,décrépitude
描写．叙述,décrire
事起,décrocher
递减的,décroissant
失望的,déçu
十倍的,décuple
使增加到十倍,décupler
幅傲的,dédaigneux
轻蔑,dédain
在里面,dedans
奉献,dedier
赔偿,dédommager
扣除,déduire
缺乏的,défaillante
散乱的,défait
败北,défaite
保卫,défendre
防卫,défense
展开,déferler
挑战,défi
不信任,défiance
défier不信任
时装表演,défilé
最后的,définitif
为支付费用,défrayer
外垦,défricher
已故的,défunt
使脱离,dégager
损害,dégât
拆坏,déglinguer
呕吐,dégobîller
使去胶,dégommer
倒胃口,dégoût
使夫去食欲,dégoûter
有损名誉的,dégradant
降级,dégradation
乔装汀扮,déguisement
乔装,déguiser
品尝,dégustation
品尝．品味,déguster
在外边,dehors
顺利应付,déhrouilier
已经,déjà
吃午饭,déjeuner
使受挫,déjouer
损坏,délabrer
期限,délai
抛弃,délaisser
被委派为代表的,délégué
委派代表,déléguer
精败地,délicatement
乐趣,délice
美味的。可口的,délicieux
犯罪,délinquance
轻罪,délit
释放．使解除,délivrer
明天,demain
询问,demander
demander思付
de,emander,à,qqn
,,-
要求某人做某事,
上门推销,démarchage
步伐,démarche
起动,démarrer
揭露,démasquer
搬家,déménager
搬家工人,déménageur
精神错乱的,dément
耽搁,demeure
居住,demeurer
半圈,demi,tour
一半的,demi
包一餐,demi-pension
百叶窗式半裁门,demi-persienne
辞职,démission
人口的,démographique
小姐,demoiselle
拆毁,démolir
示范表演,démonstration
拆开,démonter
泄气的,démotivant-e
歪曲,dénaturer
否认,denier
命名,dénomination
宣告,dénoncer
结局,dénouement
稠密的,dense
浓度,densité
牙齿,dent
花边,dentelle
牙医,dentiste
毫无…的,dénué,de
贫乏,dénuement
除臭的,déodorant
修复,dépannage
排除故障,dépanner
出发,départ
部门,département
超越,dépasser
电报,dépêche
赶紧,dépêcher
从属的,dépendant
取下,dépendre
取决于,dépendre,de
费用,dépense
花费,dépenser
衰弱,dépérir
气恼,dépit
使气恼,dépiter
移动,déplacement
出门,déplacer
使人不愉快的,déplaisant
折叠式说明书,dépliant
打开,déplier
展开,déploiement
可怜的,déplorable
悲叹,déplorer
被故逐的,déporté
存放,déposer
受托人,dépositaire
证言、革职,déposition
缺乏…的,dépourvu,de
下落,dépression
使人消沉的,déprimant
使消沉,déprimer
自……以来,depuis
自从……以后,depuis,que
使节,député
根除；连根拔出,déraciner
打搅,dérangement
打搅,déranger
嘲笑,dérision
嘲弄入的,dérisoire
最后的,dernier,,,ère
窃取,dérober
展开的,déroulé
展开,déroulement
展现,dérouler
在…后边,derrière
一些,des,indé
从……起,dès
时高时低,des,hauts,et,des,bas
从那时起,dès,lors
从现在起,dès,maintenant
一…就…,dès,que
醒悟了的,désabusc
不赞成,desapprouver
裁军,désarmement
否认,désavouer
开封,desceller
下来,descendre,ù
下降,descente
描绘,description
幻想破灭,désenchantement
使失去平衡,déséquilibrer
沙漠,désert
开小差,désertion
失望的,désespéré
使失望,désespérer
失望,désespoir
指示,désigner
幻灭,désillusion
无私的,désïntéressé
悠闲,désinvolture
希望,désirer
放弃,désistement
不服从,désobéir,à
感到抱歉,désolé
弄乱,désordonner
混乱,désordre
使组织破坏,désorganiser
今后,désormais
专制的,despotique
使干燥的,desséchante
计划,dessein
餐后点心,dessert
通达,desservir
图画,dessin
动画,dessin,animé
回画,dessiner
在……下面,dessous,prê
在……上面,dessus
命运,destin
收件人,destinataire
目的地,destination
把某物指定给某人,destiner,qqch,à,qqn
破坏,destruction
陈旧的,désuet,tète
分开,désunir
摆脱,détachement
解开,détacher
详细地,détail,
详尽的,détaillé
详述,détailler
掌握,détenir
轻松,détente
持有者,détenteur
占有,détention
被拘留的,détenu
洗净的,détergent
损坏,détériorer
决定性的,déterminant
决定,déterminer
讨厌,détester
守护神,détnon
拐弯,détour
使改变方向,détourner
诽谤的,détracteur
出故障的,détraqué
变坏,détraquer
悲痛,détresse
海峡,détroit
使认识错误,détromper
摧毁,détruire
毁坏的,détruit
债务,dette
哀悼,deuil
二,deux
dévalorisé贬值的
使贬值,dévaloriser
超前,devancer
在……前面,devant
破坏,dévaster
变成成为,devenir
déverser弯曲
预言者,devin
猜测,deviner
谜语,devinette
工程预算表,devis
格言,devise
应该,devoir
责任,devoir
吞食,dévorer
虔诚的（人),dévot
忠诚的,dévoué
献身,dévouement
献身,dévouer
见鬼,diable
恶魔般的,diabolique
诊断,diagnostic
方言,dialecte
对话,dialogue
石,diamant
幻灯,diapositive
专政,dictature
词典,dictionnaire
语调,dicton
营养学,diététique
上帝,Dieu
诽谤,diffamation
区别,différence
不同的,différent
有差别,différer
困难的,difficile
传播,diffuser
扩散,diffusion
消化,digérer
消化,digestion
值得的,digne
值得信赖的,digne,de,foi
尊严,dignité
膨胀,dilatation
星期日,dimanche
大小,dimension
缩小,diminuer
缩小,diminution
雌火鸡,dinde
晚饭,dîner
吃晚饭,dîner
二氧化物,dioxyde
证书,diplôme
说,dire
直达列车,direct
直接的,directe
校长,directeur
方向,direction
领导的,dirigeant
走向,diriger
统制经济,dirigisme
领导,dirigor
辨别,discernement
学科,discipline
守纪律的,discipliné
不一致,discordance
讲话,discours
使失去信用,discréditer
谨慎的,discret,,éte
审慎,discrétion
歧视,discrimination
讨论,discussion
谈论,discuter
舞厅唱片播放人,dise-jockey
员
消失,disparaître
不同等,disparité
消失,disparition
不受约束的,disponible
随意使用,disponiblité
被安排的,disposé
拥有……,disposer,de
安放桌子,disposer,la,table
装置,dispositif
安排,disposition
disputer拌嘴
唱片,disque
隐瞒,dissimuler
驱散,dissiper
分解,dissolution
使分解,dissoudre
劝阻,dissuader
距离,distance
远离的,distant
区分,distinction
崇高的,distingué
区分,distinguer
娱乐,distraction
使娱乐,distraire
心不在焉的,distrait
分发,distribuer
取款机,distributeur
分配,distribution
沙发床,divan
不同的,divers
多样性,diversité
消遣,divertissement
红利,dividende
分开,division
离婚,divorce
泄露,divulguer
十,dix
博学的,docte
博士,docteur
学说,doctrine
文件,document
纪录片,documentaire
资料,documentation
睡觉,dodo
教条,dogme
手指,doigt
苦情,doléance
家庭的,domestique
住所,domicile
商业票据付款点的指定公司开业地址,domiciliation
统治,domination
统治,dominer
遗憾,dommage
驯兽者,dompteur
礼物,don
赠与,donation
因此,donc
城堡主塔,donjon
给的,donné
给予赠给,donner
生孩子,donner,le,jour,à
生出,donner,naissance,à
朝向,donner,sur
助一臂之力,donner,un,coup,de,main
使某人产生个想法,donner,une,idée,à,qqn
关系代同,dont
使用的兴奋剂,dopage
使用的兴奋剂,dopant
给服用兴奋剂,doper
镀金的,doré
今后,dorénavant
从今以后,dores,et,déjà
睡觉,dormir
背部,dos
号码布,dossard
案卷,dossier
给陪嫁,doter
海关,douane
双倍的,double
译制的,doublé
超车,doubler
衬里,doublure
轻轻地,doucement
甜蜜,douceur
淋浴,douche
有天分的,doué
赋予,douer,L
疼痛,douleur
痛苦的,douloureux
怀疑,doute
不相信,douter,de
料想到,douter
doux甜的
戏剧的,dramatique
戏剧,drame
被单,drap
旗帜,drapeau
矗立,dresser
麻醉品,drogue
吸毒,droguer
经销清洁用品等家用小商品的商店,droguerie
权利,droit
直的,droit
右面,droite
滑稽的,drôle
滑稽可笑地,drôlement
,du
从……高处,du,haut,de
从……观点看,du,point,de,vue
归功于,dû
从这头到那头儿,d'un,bout,à,l'autre
一下子,d'un,trait
一方面……另一方面,d'une
二重唱,duo
欺骗,duper
困难的,dur
寿命,durée,de,vie
严酷地,durement
持续,durer
合乎习惯的,d'usage
鸭绒睡袋,duvet
活跃的,dynamique
炸药,dynamite
e~g,字母
3个单词,共1,2,0
水,eau
香水,eau,de,toilette
硝镪水,eau-forte
极为惊讶的,ébahi
草图,ébauche
乌木,ébène
耀眼,éblouir
摇动,ébranler
沸腾,ébullition
电子商务,e-business
有鳞片的,écaillé
睁大,écarquiller
差距,écart
远离……,écart,,â,1'～,de
偏僻的,écarté
分开,écarter
交流,échange
样品,échantillon
逃过,échapper
échapper逃走
到期,échéance
失败,échec
国际象棋,échecs
梯子,échelle
分期进行,échelonner
反响,écho
搁浅,échouer
échouer电光
照明,éclair
云雾中的一角晴天,éclairage
天的暂晴,éclaircie
照亮,éclairer
响亮的,éclatant
突然发出巨响,éclater
食,éclipse
孵出,éclore
船闸,écluse
et,école,gratîtute
obligatoire
义务制免费教育,
旅馆业职业学校,école,hôtelière
小学生,écolier,,,ère
生态学,écologie
生态学家,écologiste
拒绝,éconduire
经济,économie
经济的,économique
经济学家,économiste
树皮,écorce
地壳,écorce,terrestre
擦破皮,écorcher
苏格兰,Ecosse
流动,écoulement
écouler流出
听,écouter
耳机,écouteur
银幕,écran
压碎,écrasement
压碎,écraser
鳌虾,écrevisse
写,écrire
通告,écriteau
书法,écriture
作家,écrivain
écrouler倒塌
钱币,écu
暗礁,écueil
泡沫,écume
缺齿的,édenté
感化人的,édifiant
建设,édification
建筑物,édifice
建造,édifier
出版者,éditeur
出版,édition
鸭绒盖脚被,édredon
教养,édtiquer
教育,éducation
被压碎的,éerasé
擦去,effacer
受惊的,effarouché
全体人员,effectif
事实上,effectivement
实行,effectuer
有效的,efficace
有效,efficacité
擦伤,effleurer
散发出的气味,effluve
倒塌,effondrement
深翻,effondrer
倒塌,effondrer
efforcer努力
努力,effort
恐怖的,effrayant
受惊的,effrayé
使害怕,effrayer
恐惧,effroi
厚颜无耻的,effronté
égal相等的
平均主义的,égal,i,taire
使相等,égaliser
平等,égalité
尊重,égards
迷路的,égaré
使走错路,égarer
教堂,église
利己主义的,égoïste
举止轻浮的,égrillard
埃及的,égyptien
喷射,éjecter
制订,élaborer
冲力,élan
细长的,élancé
有弹性的,élastique
选举,élection
电,électricité
电的,électrique
电子的,électronique
电唱机,électrophone
优雅,élégance
高雅的,élégant
哀歌的,élégiaque
因素,élément
基础的,élémentaire
象,éléphant
畜牧,élevage
学生,élève
élevé高的
提升,élever
消除,élimination
除去,éliminer
选举,élire
她,elle
颂扬,éloge
差得远的,éloigné
移开,éloigner
爱丽舍宫,Elysée
搪瓷,émail
解放,émancipation
装船,embarquement
装上船,embarquer
阻塞,embarrasser
雇佣,embauche
招聘,embaucher
美化装饰,embellir
embêter厌烦
象征性的,emblématique
交通阻塞,embouteillage
分枝,embranchement
使燃烧,embraser
互相拥抱,embrasser
弄乱,embrouiller
埋伏,embuscade
微醉的,éméché
祖母绿,émeraude
露出,émergence
转环,émerillon
发射机,émetteur
发行,émettre
暴动,émeute
移民,émigration
移居国外,émigrer
播音,émission
迁人新居,emménager
领走,emmener
麻烦,emmerdement
激动,émoi
磨快的,émoulu
激动人心的,émouvant
使感动,émouvoir
夺取,emparer,de
障碍,empêchement
挡住,empêcher
皇帝,empereur
拘束的,empêtré
夸张的,emphatique
堆放,empiler
统治权,empire
恶化,empirer
场地,emplacement
职业,emploi
时间表,emploi,du,temps
职员,employé
雇主,employeur
得到,empocher
抓紧,empoigner
毒死,empoisonner
被带走,emporter
印记,empreinte
被监禁的,emprisonné
入狱,emprisonnement
监禁,emprisonner
借款,emprunt
借用的,emprunté
借人,emprunter
感动的,ému
,en
,en
出去,en,aller
在此期间,en,attendant
提前,en,avance
向前,en,avant
厌烦,en,avoir,marre
有节奏地,en,cadence
如果,en,cas,de,prê
在此时刻,en,ce,moment
关于,en,ce,qui,concerne
按照,en,conséquence,de,prê
作为交换,en,contrepartie
正在进行中,en,cours
换言之,en,d'autres,termes
直接地,en,direct
朝……方向,en,direction,de,prê
作为交换,en,échange
因为,en,effet
想象中,en,esprit
对面,en,face
事实上,en,fait
结束,en,finir
根据,en,fonction,de,prê
当……不在时,en,l'absence,de
多数地,en,majorité
用不了……时间,en,moins,de,prê
以实物,en,nature
单调重复地,en,pâmoison
部分地,en,partie
在露天,en,plein,vent
精神健旺,en,pleine,forme
而且,en,plus
除……以外,en,plus,de,prê
在公开场合,en,public
受女人控制,en,quenouille
鉴于,en,raison,de,prê
相反地,en,revanche
在路上,en,route
以他的方式,en,sa,manière
安全地,en,sécurité
由于,en,tant,que
无论如何,en,tout,cas
急急忙忙地,en,toute,hâte
无论如何,en,toutes,choses
一句话,en,un,mot
终于,en,venir,à
现行的,en,vigueur
为了,en,vue,de
规范,encadrer
库存的,encaissé
插页,encart
围墙,enceinte
香炉,encens
向……奉香,encenser
香炉,encensoir
连贯的,enchaîné
高兴的,enchanté
拍卖,enchère
使混乱,enchevêtrer
阻塞的,encombré
阻塞,encombrer
还,encore
墨水,encre
结硬皮的,encroûté
百科全书,encyclopédie
损害,endommager
入睡,endormir
地方,endroit
能s,énergie
神经质的,énervé
使烦乱,énerver
énerver变得激动
儿童,enfant
地狱,enfer
关闭,enfermer
穿珍珠,enfiler,des,perles
终于,enfin
点燃,enflammer
插入,enfoncer
逃跑,enfuir
志愿兵,engagé
参加,engagement
投入,engager
engager保证
引起,engendrer
包括,englober
耗费,engloutir
迷恋,engouement
肥料,engrais
发胖,engraisser
,engrenage
齿轮传动系统
化
谜语的,énigmatique
大步,enjambée
赌注,enjeu
指示,enjoindre
美化,enjoliver
缠绕,enlacer
除去,enlèvement
举起,enlever
敌人,ennemi
烦恼,ennui
ennuyer感到厌倦
令人心烦的,ennuyeux,
陈述,énoncer
巨大的,énorme
非常地,énormément
调查,enquête
调查者,enquêteur
患狂犬病的,enragé
制动,enrayer
录音,enregistrement
变富,enrichir
富有,enrichissement
嗓子嘶哑的,enroué
使……嗓子嘶哑,enrouer
ensanglanté血染的
教,enseigner
共同,ensemble
掩埋,ensevelir
迷住,ensorceler
然后后来,ensuite
开始干,entamer
堆,entassement
堆积,entasser
理解力,entendement
听见,entendre
想做某事,entendre,faire
听说,entendre,parler
互相关系融洽,entendre
相处,entente
埋葬,enterrement
安葬,enterrer
笺头,en-tête
热情,enthousiasme
整个的,entier,,ère
给……起音,entonner
扭伤,entorse
被围的,entouré
环绕,entourer
幕间休息,entracte
互助,entraider
内脏,entrailles,pl
训练,entraînement
拖,entraîner
教练,entraîneur
羁绊,entrave
在……之间,entre,prê
私下里讲,entre,nous
<牛的)排骨肉,entrecôte
人口,entrée
entreprenant大胆的
着手进行,entreprendre
企业,entreprise
进人,entrer
保养,entretenir
面试,entretien
隐约看见,entrevoir
半开着的,entrouvert
入侵,envahir
人侵者,envahisseur
信封,enveloppe
包,envelopper
见识,envergure
不顾一切,envers,et,contre,tous
羡慕,envie
热望,envier
大约在,environ,prê
环境,environnement
附近,environs
可想象的,envisageable
的
打算,envisager
飞起来,envoler
迷住,envoûter
寄出,envoyer
派某人做,envoyer,qqn,faire
厚的,épais
厚度,épaisseur
盛开的,épanoui
épanouir开放
开花,épanouissement
储蓄,épargne
节省,épargner
肩部,épaule
无主的,épave
拼读,épeler
狂乱的,éperdu
马刺,éperon
雀鹰,épervier
香料加多了的,épicé
食品杂货店,épicerie
食品杂货店主,épicier,,ère
结穗,épier
菠菜,épinard
荆棘,épine
多刺的,épineux
片断,épisode
写信迷,épistolier,ère
清除无用部分,éplucher
等方法
史诗,épopée
时代,époque
和……结婚,épouser
除去尘土,épousseter
可怕的,épouvantable
惊恐,épouvante
受惊的,épouvanté
配偶,époux,épouse
满怀,éprendre
考试,épreuve
爱好……的,épris
经过考验的,éprouvé
认识到,éprouver
筋疲力尽的,épuisé
疲惫,épuisement
使疲惫,épuiser
纯化,épurer
赤道的,équatorial
使保持平衡,équilibrer
表演平衡技巧的杂技演员,équilibriste
队,équipe
设备,équipement
配备,équiper
马术,équitation
相等物,équivalent
嘶哑的,éraiilé
竖立,ériger
腐蚀,érosion
流浪的,errant
搞错,errer
错误,erreur
博学的,érudit
喷发,éruption
海军纵队,escadrille
骑兵队,escadron
攀登,escalade
中途停靠港,escale
楼梯,escalier
使消失,escamoter
柱身,escape
蜗牛,escargot
陡的,escarpé
放声大笑,esclaffer
奴隶制,esclavage
奴隶,esclave
随从,escorte
骗子,escroc
西班牙,Espagne
西班牙语,espagnol
贴墙种植的果树行列,espalier
种类,espèce
希望,espérer
调皮的,espiègle
间谍,espion
间谍活动,espionnage
希望,espoir
精神,esprit
经济头脑,esprit,banquier
开创精神,esprit,d'initiative
坏脾气,esprit,mauvais
轻舟,esquif
雪糕,esquimau
试验,essai
大群,essaim
试穿,essayer
汽油,essence
要点,essentiel
本质的,essentiel
本质上,essentiellement
飞跃,essor
气喘吁吁的,essoufflé
喘息,essoufler
刮水器,essuie-glace
擦干,essuyer
东,est
估价,estime
认为,estimer
避暑者,estivant
胃,estomac
台,estrade
小港湾,estuaire
和,et
家畜棚,étable
建立,établir
机构,établissement
楼层,étage
书架,étagère
锡,étain
陈列,étalage
陈列,étaler
由于,étant,donné,prè
阶段,étape
状态,état
精神状态,état,d'esprit
等等,etc
夏天,été
熄灭,éteindre
熄灭的,éteint
军旗,étendard
铺开,étendre
广阔的,étendu
面积,étendue
永恒的,éternel
使永存,éterniser
人种,ethnie
闪闪发光,étinceler
火花,étincelle
贴标签,étiquetage
标签,étiquette
织物,étoffe
使丰富,étoffer
星星,étoile
襟带,étole
令人惊讶的,étonnant
惊讶的,étonné
惊讶,étonnement
震惊,étonner
使窒息,étouffer
使昏,étourdir
奇怪的,étrange
外国的,étranger,,ère
是,être
高兴做某事,être
再也没有,être,à,bout,de
是……的起源,être,à,l'origine,de
被捕,être,arrêté
了解情况的,être,au,courant
合……口味,être,au,goût,de
晒太阳,être,au,soleil
偷听,être,aux,écoutes
濒临……,être,baigné,par
很高兴的,être,bien,aise
衣冠楚楚的,être,bien,vêtu
被重视的,être,bien,vu
被……环绕,être,bordê,par
能够做某事
被判死刑
与…对质,être,confronté,à
对…满意,être,content,de
确信,être,convaincu,que
回来,être,de,retour
同意某人的意见,être,de,son,avis
被禁止做某事,être,défendude
感到遗憾,être,désolé
被……确定,être,déterminé,par
对做某事赞叹不已,être,émerveillé,de
处于下降中,être,en,baisse
发怒,être,en,colère
犯错误的,être,en,faute
出差,être,en,mission
住校,être,en,pension
在……方面落后
正在做某事
供……用的,être,fait,pour
对某事感到骄傲,être,fierde
被溺爱,être,gâté
出生于……,être,issu,de
de做某事还差的远,être,loin
在……方面很差,être,nul,en
被迫傲某事,être,obligé,de
很忙,être,pris
听命于某人
易受……的,être,sujet,à
对……确信无疑的,être,sûr,de
窄的,étroit
学习,étude
深人研究,étude,poussée
大学生,étudiant
研究,étudier
安乐,euphorie
欧元,euro
,être,capable,de
mort,être,condamnéà
,être,en,retard,en
,être,en,train,de
,être,sous,les,ordres,de
欧洲电视联播,Euro,vision
欧洲的,européen
他们,eux
排泄,évacuer
越狱的,évadé
逃跑,évader
福音,évangile
蒸发,évaporation
支吾搪塞的,évasif,
逃跑,évasion
消失,évatiouir
醒着的,éveillé
使醒,éveiller
事件,événement
扇子,éventail
可能地,éventuellement
主教,évêque
明显地,évidemment
明显的,évident
洗碗槽,évier
避免,éviter
演变,évoluer
演变,évolution
提及,évoquer
exact真实的
严格地,exactement
夸大,exagérer
歌颂,exalter
考试,examen
主考人,examinateur
检查,examiner
激怒,exaspération
杰出的,excellent
例外的,exceptionnel,le
剩余,excès
激发,exciter
欢呼,exclamation
不予考虑的,exclure
排除,exclure
开除,exclusion
抱歉,excuse
原谅,excuser
厌恶,exécrer
实行,exécuter
exécuter履行
前大使,ex-embassadeur
免除一的,exempt,de
训练,exercer
对……施加影响
奖章上留做题字的部分,exergue
激励,exhortation
要求,exiger
流亡,exil
