算盘,abacus
宽宏大量的,magnanimous
财主,magnate
磁性,magnetism
放大,magnify
放大,magnification
夸张的,magniloquent
重要,magnitude
鹊,magpie
使残废,maim
权宜之计,makeshift
笨拙的,maladroit
字的误用,malapropism
不满分子,malcontent
不满的,malcontented
诅咒,malediction
有恶意的,malevolent
故障,malfunction
恶意,malice
恶意的,malicious
诽谤,malign
恶毒的,malignant
邪恶,malignity
装病以逃避工作,malinger
可塑的,malleable
木槌,mallet
营养不良,malnutrition
有臭味的不合法的,malodorous
虐待,maltreat
哺乳动物,mammal
镣铐,manacle
命令,mandate
命令的,mandatory
调遣,maneuver
可移动的,maneuverable
撕成碎片,mangle
癫狂,mania
发狂的,maniacal
明白的载货清单,manifest
宣言,manifesto
繁多的,manifold
操纵别人的,manipulative
时装模特儿,mannequin
公馆,mansion
披风,mantle
解放,manumit
手稿,manuscript
枫树,maple
破坏,mar
抢劫,maraud
母马,mare
人造黄油,margarine
书页空白处的,marginal
海的,marine
水手,mariner
木偶,marionette
婚姻的,marital
骨髓,marrow
沼泽地,marsh
有袋动物,marsupial
要求严格服从纪律的人,martinet
烈士,martyr
捣成糊状,mash
假面具,mask
石工,mason
石工技术,masonry
化装舞会,masquerade
大屠杀,massacre
巨大的,massive
船桅,mast
咀嚼,masticate
斗牛士,matador
赋予形体,materialize
母权制,matriarchy
模子,matrix
床垫,mattress
成熟,maturity
感情脆弱的,maudlin
撕裂皮肉,maul
独行者,maverick
自作多情的,mawkish
格言,maxim
严重伤害罪,mayhem
迷宫,maze
草地,meadow
贫乏的,meager
蜿蜒而流,meander
麻疹,measles
精确的,measured
奖牌,medal
爱管闲事的,meddlesome
中间的,median
调停,mediate
中世纪的,medieval
平庸的,mediocre
平庸,mediocrity
沉思的冥想的,meditative
媒介,medium
混杂,medley
自大狂,megalomania
忧郁的,melancholy
柔美流畅的,mellifluous
情节剧,melodrama
旋律,melody
悦耳的,melodious
甜瓜,melon
薄膜,membrane
纪念品,memento
威胁,menace
虚假,mendacity
仆人的,menial
导师,mentor
商品,merchandise
善变的,mercurial
小湖,mere
华而不实的,meretricious
值得赞赏的,meritorious
美人鱼,mermaid
高台地,mesa
对⋯催眠,mesmerize
新陈代谢,metabolism
变形,metamorphosis
隐喻,metaphor
隐喻的,metaphorical
形而上学,metaphysics
流星的,meteoric
细心的,meticulous
勇气,mettle
精神抖擞的,mettlesome
瘴气,miasma
微生物,microbe
极小的,microscopic
侏儒,midget
风采,mien
移民,migrant
霉,mildew
社会环境,milieu
好战的,militant
磨坊主人,miller
女帽及其装饰物,millinery
比划手脚,mime
模仿,mimic
模仿,mimicry
叫拜楼,minaret
威胁的,minatory
切碎,mince
小画像,miniature
奴才,minion
鲦鱼,minnow
小步舞,minuet
微枝末节,minutia
幻影,mirage
泥沼,mire
欢乐,mirth
愤世嫉俗者,misanthrope
混合物,miscellany
多种的,miscellaneous
淘气的,mischievous
误解,misconstrue
恶棍,miscreant
不幸,mishap
投射出的物体或武器,missile
不合时机的,mistimed
冷而干燥的强风,mistral
史前时代,mists
极小量,mite
减轻,mitigate
手套,mitten
记忆法,mnemonics
呻吟,moan
壕沟,moat
嘲笑,mock
不过份的,moderate
调解人,moderator
少量,modicum
修改,modify
修改,modification
时髦的,modish
调整,modulate
显要人物,mogul
一半,moiety
臼齿,molar
骚扰,molest
安慰,mollify
软体动物,mollusk
过份爱惜,mollycoddle
短暂的,momentary
极重要的,momentous
推进力,momentum
君主,monarch
男修道院,monastery
修道生活,monasticism
杂种动物,mongrel
一夫一妻制,monogamy
专题论文,monograph
巨石的,monolithic
独白,monologue
专利权,monopoly
单调的,monotonous
季雨,monsoon
庞然大物,monster
巨大的,monstrous
旷野地,moor
抑郁不乐,mope
士气,morale
道德学家,moralist
道学气的,moralistic
沼泽地,morass
停止偿付,moratorium
病态的,morbid
病态,morbidity
讥讽的,mordant
风俗习惯,mores
即将结束的,moribund
极蠢之人,moron
脾气坏的,morose
构词学,morphemics
一小块,morsel
小臼,mortar
抵押贷款,mortgage
使屈辱,mortify
耻辱,mortification
停尸间,mortuary
镶嵌细工,mosaic
微粒,mote
主题,motif
促使,motivate
动机,motivation
混杂的,motley
有杂色的,mottled
座右铭,motto
江湖郎中,mountebank
哀悼,mourn
悲伤的,mournful
乐章,movement
混乱,muddle
使声音降低,muffle
消音器,muffler
闷热而潮湿的,muggy
多种的,multifarious
多数,multitude
现世的,mundane
慷慨的,munificent
契据,muniments
军火,munitions
黑暗的,murky
柔声地说,murmur
沉思,muse
召集,muster
突变,mutation
沉默的,mute
残害,mutilate
反叛者,mutineer
加入叛变的,mutinous
羊肉,mutton
模糊不清的,muzzy
近视,myopia
许多,myriad
神话故事,myth
神话,mythology
最低点,nadir
唠叨,nag
天真,naivete
小睡,nap
自恋,narcissism
鼻的,nasal
初生的,nascent
出生,nativity
整洁的,natty
作呕,nausea
使作呕,nauseate
船员的,nautical
中殿,nave
星云,nebula
模糊不清的,nebulous
贫困的,necessitous
巫术,necromancy
公墓,necropolis
针,needle
违法的,nefarious
取消,negate
取消,negation
疏忽,negligence
可忽略的,negligible
可商量的,negotiable
报应,nemesis
新石器时代的,neolithic
新字,neologism
初生婴儿,neonate
初学者,neophyte
肾炎,nephritis
裙带关系,nepotism
无力的,nerveless
舒适地安顿,nestle
尚未离巢的小鸟,nestling
最低的,nethermost
荨麻,nettle
神经病学,neurology
精神病,neurosis
神经病患者,neurotic
中间的,neutral
使无效,neutralize
连系,nexus
钢笔尖,nib
一点点地咬,nibble
壁龛,niche
小伤口,nick
尼古丁,nicotine
吝啬鬼,niggard
吝啬的,niggardly
琐碎的,niggling
恶梦,nightmare
虚无主义,nihilism
敏捷的,nimble
钳子,nippers
尖酸的,nipping
心灵的平静,nirvana
挑剔,nitpick
夜晚的,nocturnal
恶臭的,noisome
流浪者,nomad
游牧的,nomadic
术语,nomenclature
名义上的,nominal
提名,nomination
无动于衷,nonchalance
冷漠的,nonchalant
态度暖昧的,noncommittal
不遵照传统生活的,nonconformist
不遵从,nonconformity
没有特征的,nondescript
无能力之人,nonentity
无匹敌的人,nonesuch
不易燃的,nonflammable
不遵守,nonobservance
无匹敌的,nonpareil
使窘困,nonplus
防滑的,nonskid
不使用暴力的,nonviolent
绳套,noose
规范,norm
规范的,normative
怀旧之情,nostalgia
秘方药,nostrum
著名,notability
有凹口的,notched
通知,notify
臭名昭彰,notoriety
臭名昭著的,notorious
言情的,novelettish
新奇,novelty
生手,novice
奴佛卜因,novocaine
有害的,noxious
细微的差异,nuance
到婚嫁年龄的,nubile
赤裸的,nude
裸露,nudity
轻触,nudge
无价值的,nugatory
使无效,nullify
无效,nullity
麻木的,numb
命理学,numerology
庄严的,numinous
钱币学的,numismatic
钱币学家,numismatist
女修道院,nunnery
婚姻的,nuptial
婚礼,nuptials
年轻女神,nymph
呆子的,oafish
橡树,oak
橹,oar
绿州,oasis
誓约,oath
固执的,obdurate
服从的,obedient
鞠躬,obeisance
极肥胖的,obese
肥胖,obesity
使困惑,obfuscate
厌恶,objection
令人厌恶的,objectionable
宗教的供品,oblation
责任,obligation
强制性的,obligatory
恳切的,obliging
间接的,oblique
涂掉,obliterate
遗忘,oblivion
不在意的,oblivious
大骂,obloquy
令人不愉快的,obnoxious
难解的,obscure
费解,obscurity
葬礼,obsequies
逢迎的,obsequious
遵守,observance
入迷,obsession
即将过时的,obsolescent
废弃的,obsolete
障碍,obstacle
产科学,obstetrics
固执的,obstinate
吵闹的,obstreperous
阻塞,obstruct
阻挠,obstruction
突出,obtrude
突出的,obtrusive
愚笨的,obtuse
正面,obverse
排除,obviate
西方,occidental
秘密的,occult
事件,occurrence
八十～八十九岁的人,octogenarian
眼睛的,ocular
眼科医生,oculist
残余物,oddments
长诗,ode
可憎的,odious
憎恶,odium
有香味的,odoriferous
食道,oesophagus
错事,offense
令人不快的,offensive
爱发命令的,officious
送秋波,ogle
油膏,ointment
嗅觉的,olfactory
寡头政治,oligarchy
征兆预兆,omen
预兆的不祥的,ominous
遗漏,omission
全能的万能的,omnipotent
无所不知的博识的,omniscient
杂食的,omnivorous
繁重的麻烦的,onerous
旁观者,onlooker
猛攻,onslaught
实体论,ontology
义务,onus
慢慢地流,ooze
像蛋白石的,opalescent
不透明的,opaque
不透明,opacity
小歌剧,operetta
实施中的,operative
眼科,ophthalmology
安眠药,opiate
固执已见的,opinionated
对手,opponent
合适的,opportune
残酷的压迫的,oppressive
辱骂的,opprobrious
恶名声,opprobrium
乐观主义,optimism
最好的,optimum
可自由选择的,optional
富裕的,opulent
富裕,opulence
代神发布神谕的人,oracle
神谕的,oracular
正式演说,oration
清唱剧,oratorio
兰花,orchid
任命,ordain
严峻考验,ordeal
法令,ordinance
授任圣职,ordination
大炮,ordnance
矿,ore
生物,organism
上升的,orient
定向,orientation
小开口,orifice
创造性,originality
华美的,ornate
鸟类学,ornithology
宏亮的,orotund
畸齿矫正学,orthodontics
正统的,orthodox
正统学说,orthodoxy
整形手术,orthopedics
摆动,oscillate
振动,oscillation
渗透,osmosis
骨的,osseous
硬化,ossify
表面上的,ostensible
夸示,ostentation
放逐,ostracize
鸵鸟,ostrich
不必要的,otiose
出价多于,outbid
以机智胜过,outfox
友善的,outgoing
奇怪的,outlandish
不再流行的,outmoded
残暴暴行,outrage
粗暴的,outrageous
开始,outset
郊区,outskirts
超过,outstrip
以机智胜过,outwit
热烈的欢迎,ovation
把表演得过火,overact
专横的,overbearing
过度剂量,overdose
彻底检查,overhaul
重叠,overlap
做事过头,overreach
不理会,override
最主要的,overriding
不准,overrule
遮蔽,overshadow
公开的非秘密的,overt
前奏曲序曲,overture
自负的,overweening
泛滥,overwhelm
巨大的,overwhelming
紧张过度的,overwrought
猫头鹰,owl
氧化,oxidize
牡蛎,oyster
食物,pabulum
厚皮动物,pachyderm
调停者,pacifier
充满人的,packed
协定,pact
赞美歌,paean
没有宗教信仰的人,pagan
异教,paganism
壮观的游行,pageant
止痛药,painkiller
伙伴,pal
美味的,palatable
上腭,palate
宫殿般的,palatial
空谈,palaver
古文字学,paleography
旧石器时代的,paleolithic
调色板,palette
篱笆,palings
减轻,palliate
减轻,palliation
苍白的,pallid
明显的,palpable
急速而不规则地跳动,palpitate
无价值的,paltry
纵容,pamper
小册子,pamphlet
严厉批评,pan
万灵药,panacea
胰脏,pancreas
大范围流行的,pandemic
喧嚣,pandemonium
颂词,panegyric
讨论小组,panel
恐慌,panic
全副穿戴,panoply
全景,panorama
万神殿,pantheon
哑剧,pantomime
食品室,pantry
莎草,papyrus
同等,par
寓言,parable
范,paradigm
作为示范的,paradigmatic
矛盾似矛盾而正确的说法,paradox
模范,paragon
使瘫痪,paralyze
瘫痪,paralysis
最重要的,paramount
偏执狂,paranoia
偏执狂的,paranoid
寄生虫,parasite
寄生的,parasitic
烘烤,parch
羊皮纸,parchment
插入语,parenthesis
贱民,pariah
和谈,parley
靠不住的,parlous
教区的,parochial
嘲弄文章,parody
突发,paroxysm
镶木地板．,parquet
镶木地板艺术或图案,parquetry
挡开,parry
太节省的,parsimonious
偏袒,partiality
事实,particulars
党派支持者．,partisan
瓜分,partition
生产,parturition
暴发户,parvenu
彩色粉笔画,pastel
以高热杀菌,pasteurize
消遣,pastime
牧师,pastor
田园生活的,pastoral
糕点,pastry
补丁,patch
引起怜悯的,pathetic
病理学,pathology
哀婉,pathos
绿锈,patina
庭院,patio
家长,patriarchy
贵族,patrician
爱国主义,patriotism
赞助,patronage
小量,paucity
贫民,pauper
典当,pawn
典当商,pawnbroker
憔悴,peak
憔悴的,peaky
小卵石,pebble
小过失,peccadillo
胸部的,pectoral
挪用,peculate
金钱上的,pecuniary
教育学,pedagogy
迂腐之人,pedant
迂腐,pedantry
基座,pedestal
徒步的,pedestrian
小儿科,pediatrics
偷看,peek
同等之人,peer
坏脾气的,peevish
带有轻蔑意义的,pejorative
财富,pelf
混乱地,pell-mell
清晰的,pellucid
毛皮．投掷,pelt
围栏,pen
置于不利地位,penalize
刑罚,penalty
自我惩罚,penance
爱好,penchant
吊着的,pendent
即将发生的,pending
摆,pendulum
悬挂而摇摆不定的,pendulous
刺穿,penetrate
敏锐的,penetrating
穿透,penetration
后悔的,penitent
监狱,penitentiary
信号旗,pennant
养老金,pension
沉思的,pensive
倒数第二的,penultimate
半明半暗之处,penumbra
贫困的,penurious
贫穷,penury
胡椒味的,peppery
胃蛋白酶,pepsin
产生胃酶的,peptic
巡行,perambulate
察觉,perceive
可以感觉到的,perceptible
洞察力,perception
感觉敏锐的,perceptive
洞察力强的,percipient
过滤出,percolate
撞击,percussion
敲击乐器乐师,percussionist
游历,peregrination
专横的,peremptory
终年的,perennial
力求完美者,perfectionist
不忠的,perfidious
不忠,perfidy
打洞,perforate
香味,perfume
草率的,perfunctory
近地点,perigee
危险,peril
危险的,perilous
周长,perimeter
句号,period
巡游的,peripatetic
不重要的,peripheral
外围,periphery
迂回的,periphrastic
死,perish
易坏的,perishable
严寒的,perishing
作伪证,perjure
伪证,perjury
活泼的,perky
可渗透的,permeable
扩散,permeate
过份纵容的,permissive
排列变化,permutation
有害的,pernicious
结尾,peroration
垂直的,perpendicular
犯罪,perpetrate
使永存,perpetuate
永恒,perpetuity
困惑的,perplexed
困惑,perplexity
固定津贴,perquisite
迫害,persecute
迫害,persecution
坚忍,persevere
坚忍不拔的,persevering
挖苦,persiflage
固执的,persistent
势利的,persnickety
英俊的,personable
名人,personage
诽谤,personalities
典型,personification
角度,perspective
独具慧眼的,perspicacious
出汗,perspiration
能劝说的,persuasive
属于,pertain
顽固的,pertinacious
有关的,pertinent
烦乱,perturbation
细读,peruse
弥漫,pervade
遍及的,pervasive
刚愎自用的,perverse
刚愎,perversity
使堕落,pervert
堕落,perversion
讨厌的,pesky
害虫,pest
杀虫剂,pesticide
致死的,pestilent
纠缠,pester
杵,pestle
请愿,petition
请愿人,petitioner
石化,petrify
石化,petrifaction
岩石学,petrology
易怒的,pettish
性急的,petulant
伪善的,pharisaic
制药的,pharmaceutical
药理学,pharmacology
鬼怪,phantom
幻影的,phantasmal
小瓶,phial
调戏追逐女人,philander
慈善家,philanthropist
集邮,philately
集邮家,philatelist
庸人,philistine
语文学,philology
冷静的,phlegmatic
恐惧症,phobia
假的,phony
光合作用,photosynthesis
警句,phrase
轻柔的,piano
阳台,piazza
杂色的,pied
桥墩,pier
刺透,pierce
刺骨的,piercing
虔诚,piety
天然色素,pigment
猪圈,pigsty
偷窃,pilfer
朝圣客,pilgrim
抢劫,pillage
颈手枷,pillory
钳子,pincers
捏,pinch
松树憔悴,pine
尖塔,pinnacle
辛辣的,piquant
海盗,pirate
v脚尖立地的旋转,pirouette
捕鱼的,piscatorial
手枪,pistol
沥青,pitch
有柄水罐,pitcher
陷阱,pitfall
精髓,pith
简练的,pithy
枢轴,pivot
抚慰,placate
安慰剂,placebo
安静的,placid
剽窃,plagiarism
瘟疫,plague
原告,plaintiff
可怜的,plaintive
发辫,plait
刨子,plane
如泣如诉的,plangent
厚木板,plank
浮游生物,plankton
抹上灰泥的,plastered
可塑性,plasticity
高原,plateau
陈腔滥调,platitude
纯友谊的,platonic
似乎合理的,plausible
剧作家,playwright
广场,plaza
恳求,plead
褶,pleat
平民,plebeian
完全,plenitude
赘语的,pleonastic
过量,plethora
易弯的,pliable
易受影响的,pliant
钳子,pliers
柱脚底座,plinth
重步走,plod
情节,plot
花招,ploy
拨毛勇气,pluck
羽毛,plumage
精确地,plumb
垂直或突然地堕下,plummet
颇胖的,plump
抢劫,plunder
豪华的,plush
富豪,plutocracy
等候顾客,ply
肺炎,pneumonia
豆荚,pod
足病科,podiatry
讲坛,podium
蹩脚诗人,poetaster
伤心的,poignant
辛酸事,poignancy
一种短毛猎犬,pointer
使相等,poise
刺,poke
狭小的,poky
极端性,polarity
极化,polarization
争论,polemic
引起论战的,polemical
把⋯擦光亮上光剂,polish
花粉,pollen
给⋯⋯授粉,pollinate
民意测验家,pollster
懦夫,poltroon
一妻多夫制,polyandry
一夫多妻制,polygamy
通晓多种语言的,polyglot
知识广博者,polymath
盛况,pomp
自大,pomposity
自大的,pompous
仔细考虑,ponder
笨重的,ponderous
匕首,poniard
自以为是的,pontifical
小马,pony
民众,populace
人口稠密的,populous
瓷,porcelain
猪的,porcine
豪猪,porcupine
可渗透的,porous
轻便的,portable
预兆,portend
凶兆,portent
凶兆的,portentous
文件夹,portfolio
摆姿势,pose
装模作样的人,poseur
假定,posit
肯定,positiveness
疯狂的,possessed
较后的,posterior
后代,posterity
死后的,posthumous
假定,postulate
适于饮用的,potable
畅饮,potation
能力,potency
强有力的,potent
统治者,potentate
混杂,potpourri
实际的,pragmatic
实用主义,pragmatism
恶作剧,prank
瞎扯,prate
闲聊,prattle
传教,preach
前言,preamble
危险的,precarious
在⋯之前,precede
先,precedent
箴言,precept
教师,preceptor
悬崖,precipice
加速,precipitate
急躁,precipitation
陡峭的,precipitous
摘要,precis
避免,preclude
早熟的,precocious
预感,precognition
先入之见,preconception
先驱,precursor
食肉动物,predator
注定,predestine
困境,predicament
可预知的,predictable
偏好,predilection
倾向,predisposition
有势力的,predominant
出类拔萃的,preeminent
以先买权取得,preempt
先买权,preemption
整理羽毛,preen
序言,preface
预示,prefigure
怀孕,pregnancy
怀孕的,pregnant
有害的,prejudicial
无文字,preliterate
序幕,prelude
预谋的,premeditated
首次公演,premiere
保险费,premium
心事重重的,preoccupied
压倒,preponderate
优势,preponderance
给人好感的,prepossessing
荒谬的,preposterous
先决条件,prerequisite
特权,prerogative
预感,presage
有先见之明的,prescient
规定的,prescribed
命令,prescript
处方,prescription
主持人,presenter
保护,preserve
防腐的,preservative
负责,preside
挤压,press
变戏法,prestidigitation
有名望的,prestigious
快拍,presto
可能的,presumable
假定,presumption
自大的,presumptuous
预先假定,presupposition
假的,pretended
自命不凡,pretension
做作的,pretentious
自命不凡,pretentiousness
异常的,preternatural
借口,pretext
战胜,prevail
盛行的,prevailing
普遍的,prevalent
支吾其词,prevaricate
先见,prevision
被捕食的动物,prey
小刺,prick
刺,prickle
多刺的,prickly
自以为比别人更有道德的人,prig
端庄的,prim
灵长类,primate
启蒙书,primer
原始的,primeval
原始的,primitive
最初的,primordial
刻意打扮,primp
王子的,princely
在先,priority
太古的,pristine
丧失,privation
特权,privilege
试用,probation
探索,probe
好探索的,probing
刚直,probity
吸管,proboscis
收入,proceeds
行列,procession
倾向,proclivity
耽搁,procrastinate
生育,procreate
强求一致的,procrustean
代理人,proctor
取得,procurement
挥霍的,prodigal
很大的,prodigious
奇事,prodigy
亵渎,profane
不敬,profanity
献出,proffer
熟练的,proficient
外形,profile
奸商,profiteer
挥金如土的,profligate
深奥,profundity
很多的,profuse
丰富大量浪费,profusion
祖先,progenitor
后代,progeny
预测,prognosticate
抑制的,prohibitive
抛射物,projectile
无产阶级,proletarian
激增,proliferate
多产的,prolific
罗嗦的,prolix
开场白,prologue
延长,prolong
长时期的,prolonged
散步,promenade
滥交,promiscuity
滥交的,promiscuous
促使,prompt
激励,prompting
敏捷,promptness
颁布,promulgate
俯卧的,prone
明显的,pronounced
支撑物,prop
繁殖,propagate
推进,propel
推进器,propeller
嗜好,propensity
预防疾病的,prophylactic
邻近,propinquity
讨好,propitiate
讨好的,propitiatory
吉利的,propitious
支持者,proponent
私有的,proprietary
礼节,propriety
推进力,propulsion
休会,prorogue
休会,prorogation
单调的,prosaic
禁止,proscribe
告发,prosecute
起诉人,prosecutor
皈依者,proselyte
使⋯⋯皈依,proselytize
诗体学,prosody
未来的,prospective
繁荣,prosperity
繁荣富强的,prosperous
提倡者,protagonist
抗议,protest
外交礼节,protocol
原型,prototype
延长,protract
突出,protrude
伸出来的,protrusive
突出的,protuberant
节疤,protuberance
出处,provenance
草料,provender
无人不知地,proverbially
深谋远虑的,provident
深谋远虑,providence
偏狭的,provincial
供应,provision
粮食,provisions
暂时的,provisional
激怒,provocation
激怒的挑战的,provocative
激怒,provoke
激怒人的,provoking
勇敢,prowess
最接近的,proximate
过份守礼的人,prude
过分守礼,prudery
过分守礼的,prudish
谨慎,prudence
梅干修剪,prune
好色的,prurient
好色,prurience
刺探,pry
赞美诗,psalm
选举学,psephology
假名,pseudonym
心智,psyche
精神的,psychic
引起幻觉的,psychedelic
精神病的,psychiatric
精神病学,psychiatry
精神分析,psychoanalysis
精神病,psychosis
精神病的,psychotic
青春期,puberty
宣传引人注意,publicize
起皱皱褶,pucker
水坑,puddle
幼稚的,puerile
稚气,puerility
拳击,pugilism
好斗的,pugnacious
好斗性,pugnacity
权力,puissance
强有力的,puissant
美丽,pulchritude
美丽的,pulchritudinous
滑轮,pulley
繁殖,pullulate
果肉酱,pulp
有规律的振动,pulsate
节奏强的,pulsating
压成细粉,pulverize
接连地打,pummel
以拳猛击,punch
谨小慎微的,punctilious
刺孔,puncture
权威人士,pundit
刺鼻的,pungent
刺激性,pungency
弱小的,puny
愚钝的,purblind
支点,purchase
纯种的,purebred
清洗,purge
净化,purgation
泻药,purgative
极端拘谨的,puritanical
邻近地区,purlieus
意义,purport
偷窃,purloin
供给,purvey
粮食的供给,purveyance
懦弱的,pusillanimous
腐坏,putrefaction
使腐烂,putrefy
腐臭的,putrid
矮人,pygmy
高压电线架,pylon
火葬柴堆,pyre
纵火狂,pyromania
冒充内行之人,quack
四边形,quadrangle
畅饮,quaff
沼泽地,quagmire
畏惧,quail
疑惧,qualm
困惑,quandary
定量,quantum
隔离检疫期,quarantine
猎物,quarry
四重奏,quartet
取消,quash
奇怪的,queer
制止镇压,quell
熄灭,quench
抱怨的,querulous
质问,query
搜寻,quest
长队,queue
遁词,quibble
不动的,quiescent
刺,quill
典型,quintessence
奇事,quirk
卖国贼,quisling
遇困难即放弃者,quitter
箭筒,quiver
不切实际的,quixotic
每日的,quotidian
乌合之众,rabble
患狂犬病的,rabid
善于讲故事的人,raconteur
发光,radiance
发光,radiate
发光,radiation
椽子,rafter
盛怒,rage
破烂的,ragged
突然袭击,raid
栏杆,rail
善意的嘲弄,raillery
衣服,raiment
召集,rally
漫步,ramble
喧闹的,rambunctious
分支,ramify
分支,ramification
狂暴地乱冲,rampage
蔓生的,rampant
壁垒,rampart
不新鲜的,rancid
深仇,rancor
怨恨的,rancorous
怨恨,rankle
赎金,ransom
强夺的,rapacious
掠夺,rapacity
急流,rapids
和睦,rapport
和好,rapprochement
狂喜,rapture
着迷的,rapturous
轻率,rashness
推理,ratiocination
基本原理,rationale
沙哑的,raucous
热切赞扬,rave
饿极了的,ravenous
深谷,ravine
迷住,ravish
令人陶醉的,ravishing
狂喜,ravishment
生皮,rawhide
剃刀,razor
保守的,reactionary
恢复活力,reactivate
试剂,reagent
令,ream
收割者,reaper
使安心,reassure
安慰,reassurance
令人讨厌的,rebarbative
折扣,rebate
反抗的,rebellious
断然拒绝,rebuff
指责,rebuke
字谜,rebus
反驳,rebuttal
固执的,recalcitrant
固执,recalcitrance
改变,recant
改变宗教信仰,recantation
扼要重述,recapitulate
后退,recede
容器,receptacle
善于接受的,receptive
壁凹墙上装架子,recess
衰退时期,recession
隐性遗传的,recessive
累犯,recidivism
相互的,reciprocal
答谢,reciprocate
互惠主义,reciprocity
独奏,recital
轻率的,reckless
纠正,reclaim
退却,recoil
报酬,recompense
和解,reconcile
和解,reconciliation
深奥的,recondite
侦察,reconnaissance
描述,recount
懦夫,recreant
娱乐,recreation
反责,recriminate
新兵,recruit
改正,rectify
改正,rectification
诚实,rectitude
侧卧的,recumbent
恢复,recuperate
有助恢复健康的,recuperative
重现,recurrence
赎罪,redeem
赎罪,redemption
可敬畏的,redoubtable
改正,redress
累赘的,redundant
过剩,redundancy
裁判员,referee
提炼,refinement
反射,reflect
反射,reflection
深思熟虑的,reflective
难驾驭的,refractory
抑制,refrain
辉煌的,refulgent
辉煌,refulgence
刷新,refurbish
驳斥,refute
帝王的,regal
款待,regale
改过自新的,regenerate
摄政者,regent
政权,regime
养生法,regimen
严格控制,regimentation
退步的,regressive
管制,regulate
管理,regulation
排演,rehearsal
统治时期,reign
偿还,reimburse
偿还,reimbursement
使化身,reincarnate
化身,reincarnation
加强力量,reinforce
恢复,reinstate
重申,reiterate
喜欢,rejoice
欢乐,rejoicing
回答,rejoin
回答,rejoinder
使返老还童,rejuvenate
重新点燃,rekindle
旧病复发,relapse
松弛,relaxation
降级,relegate
动怜悯心,relent
无情的,relentless
相关,relevance
信赖,reliance
遗物,relic
残存的,relict
放弃,relinquish
味道,relish
剩余物,remainder
遗址,remains
可纠正的,remediable
追忆,reminisce
回想,reminiscence
疏忽的,remiss
宽恕,remission
免除,remit
汇款,remittance
间歇性的,remittent
残余物,remnant
重建,remodel
抗议,remonstrance
抗议,remonstrate
懊悔,remorse
报酬,remunerate
报酬高的,remunerative
复兴,renaissance
新生的,renascent
撕裂,rend
使得,render
演出,rendering
约会,rendezvous
叛教者,renegade
背信,renege
宣布放弃,renounce
放弃,renunciation
名望,renown
著名的,renowned
裂缝,rent
能补救的,reparable
赔偿,reparation
机灵的回答,repartee
遣返,repatriate
废除,repeal
击退,repel
令人厌恶的,repellent
懊悔,repent
悔恨,repentance
对⋯感到悔恨的,repentant
反应,repercussion
常备剧目,repertoire
不满,repine
代替,replacement
补充,replenish
饱满的,replete
充满,repletion
复制品,replica
重复,replicate
躺着休息,repose
贮藏室,repository
取回,repossess
谴责,reprehend
应受谴责的,reprehensible
抑制,repress
镇压的,repressive
缓刑,reprieve
训诫,reprimand
报复,reprisal
谴责,reproach
谴责,reprobate
生殖,reproduction
斥责,reproof
拒绝,repudiate
令人厌恶的,repugnant
嫌恶,repugnance
令人厌恶的,repulsive
名声,reputation
安魂弥撒,requiem
要求,requisition
酬劳,requital
报答,requite
废除,rescind
公告,rescript
相似,resemblance
憎恶,resent
憎恨,resentment
谨慎,reserve
说话不多的,reserved
再洗牌,reshuffle
住宅,residence
残余的,residual
剩余,residue
辞職,resignation
逆来顺受的,resigned
弹性,resilience
洪亮的,resonant
回响,resonance
度假胜地,resort
趋炎附势者,respecter
个别的,respective
呼吸,respiration
休息,respite
华丽的,resplendent
灿烂,resplendence
被告,respondent
敏感的,responsive
归还,restitution
不安静的,restive
恢复健康的,restorative
克制,restrain
克制,restraint
重新开始,resume
重新开始,resumption
复兴,resurgence
再起的,resurgent
使复活,resurrect
复活,resurrection
使复活,resuscitate
零售,retail
零售商,retailer
报复,retaliate
妨碍,retard
智力迟钝的,retarded
保留,retention
有,retentive
沉默不语的,reticent
网目,reticulation
侍从,retinue
隐居的,retiring
反驳,retort
回顾,retrace
缩回,retract
撤退,retreat
报应,retribution
报应的,retributive
取回,retrieval
寻回,retrieve
后退的,retrograde
倒退,retrogress
反顾,retrospect
追想的,retrospective
显示,revelation
狂欢,revelry
报复,revenge
收入,revenue
起回声,reverberate
起回声的,reverberant
崇敬,reverence
恭敬的,reverent
幻想,reverie
反面,reverse
返回原状,reversion
辱骂,revile
使复活,revitalize
可废除的,revocable
废弃,revocation
废除,revoke
叛乱,revolt
令人厌恶的,revolting
过份赞美,rhapsodize
溢美之词,rhapsody
修辞学,rhetoric
水晶石,rhinestone
大黄,rhubarb
有节奏的,rhythmic
肋骨,rib
下流的,ribald
脊如屋脊,ridge
流行的,rife
步枪,rifle
裂缝,rift
欺骗,rig
固执,rigidity
严厉,rigor
严厉的,rigorous
n外皮,rind
卷发,ringlet
以清水冲洗,rinse
暴乱的,riotous
撕裂,rip
可笑的,risible
仪式,rite
仪式,ritual
铆钉吸引,rivet
非常精彩的,riveting
小溪,rivulet
长袍,robe
健壮的,robust
啮齿类动物,rodent
鱼卵,roe
捣蛋的,roguish
欢乐的,rollicking
新兵,rookie
栖息,roost
公鸡,rooster
值勤表,roster
旋转的,rotary
死,rote
圆胖的,rotund
绕远道的,roundabout
大败,rout
