あいかわらず,相変わらず
じゅうじつ,充実
しゅうしゅう,収集
じゅうしょ,住所
しゅうしょく,就職
しゅうしょく,修飾
じゅうじろ,十字路
しゅうせい,修正
しゅうぜん,修繕
じゅうたい,重体
じゅうたい,渋滞
じゅうだい,重大
じゅうたく,住宅
しゅうだん,集団
しゅうちゅう,集中
しゅうてん,終点
じゅうてん,重点
じゅうなん,柔軟
しゅうにゅう,収入
しゅうにん,就任
じゅうふく,重複
じゅうぶん,十分
しゅうへん,周辺
じゅうみん,住民
じゅうやく,重役
しゅうよう,収容
じゅうよう,重要
じゅうらい,従来
しゅうり,修理
しゅうりょう,終了
しゅうりょう,修了
じゅうりょう,重量
じゅうりょく,重力
しゅえい,守衛
しゅえん,主演
しゅかん,主観
しゅぎ,主義
しゅぎょう,修行
じゅぎょう,授業
しゅくが,祝賀
じゅくご,熟語
しゅくじつ,祝日
しゅくしょう,縮小
しゅくだい,宿題
しゅくはく,宿泊
しゅくめい,宿命
しゅげい,手芸
しゅけん,主権
じゅけん,受験
しゅご,主語
しゅさい,主催
しゅざい,取材
しゅし,趣旨
しゅじゅ,種々
しゅじゅつ,手術
しゅしょう,首相
しゅしょく,主食
しゅじん,主人
しゅじんこう,主人公
しゅたい,主体
しゅだい,主題
しゅだん,手段
しゅちょう,主張
しゅつえん,出演
しゅっきん,出勤
しゅっけつ,出血
しゅつげん,出現
じゅつご,述語
しゅっさん,出産
しゅっしゃ,出社
しゅっせい,出生
しゅつじょう,出場
しゅっしん,出身
しゅっせ,出世
しゅっせき,出席
しゅつだい,出題
しゅっちょう,出張
しゅつどう,出動
しゅっぱつ,出発
しゅっぱん,出版
しゅっぴ,出費
しゅっぴん,出品
しゅと,首都
しゅどう,主導
しゅにん,主任
しゅのう,首脳
しゅび,守備
しゅふ,主婦
しゅほう,手法
しゅみ,趣味
じゅみょう,寿命
じゅもく,樹木
しゅやく,主役
しゅよう,主要
じゅよう,需要
じゅりつ,樹立
しゅるい,種類
じゅわき,受話器
しゅんかん,瞬間
じゅんかん,循環
じゅんきゅう,準急
じゅんさ,巡査
じゅんじゅん,順々
じゅんじょ,順序
じゅんじょう,純情
じゅんすい,純粋
じゅんちょう,順調
じゅんばん,順番
しよう,使用
しよう,私用
しよう,仕様
じょうい,上位
じょうえん,上演
しょうか,消化
じょうか,城下
しょうかい,紹介
しょうがい,障害
しょうがい,生涯
しょうがくきん,奨学金
しょうがくせい,小学生
しょうがつ,正月
しょうがっこう,小学校
しょうぎ,将棋
じょうき,蒸気
じょうぎ,定規
じょうきゃく,乗客
じょうきゅう,上級
しょうきょ,消去
しょうぎょう,商業
じょうきょう,上京
じょうきょう,状況
しょうきょくてき,消極的
しょうきん,賞金
じょうくう,上空
じょうげ,上下
しょうげき,衝撃
しょうげん,証言
じょうけん,条件
しょうこ,証拠
しょうご,正午
しょうごう,照合
しょうさい,詳細
しょうじ,障子
じょうし,上司
しょうじき,正直
じょうしき,常識
しょうしゃ,商社
じょうしゃ,乗車
じょうじゅん,上旬
しょうじょ,少女
しょうしょう,少々
しょうじょう,症状
じょうしょう,上昇
しょうしん,昇進
じょうず,上手
しょうすう,少数
しょうする,称する
じょうせい,情勢
しょうせつ,小説
しょうそく,消息
しょうたい,招待
しょうたい,正体
じょうたい,状態
しょうだく,承諾
じょうたつ,上達
じょうだん,冗談
しょうち,承知
じょうしょ,情緒
しょうちょう,象徴
しょうてん,商店
しょうてん,焦点
じょうとう,上等
しょうどく,消毒
しょうとつ,衝突
しょうにか,小児科
しようにん,使用人
しょうにん,商人
しょうにん,証人
しょうにん,承認
じょうねつ,情熱
しょうねん,少年
しょうはい,勝敗
しょうばい,商売
じょうはつ,蒸発
しょうひ,消費
しょうひん,商品
しょうひん,賞品
じょうひん,上品
しょうぶ,勝負
じょうぶ,丈夫
しょうべん,小便
じょうほ,譲歩
しょうぼう,消防
しょうぼうしょ,消防署
じょうほう,情報
しょうみ,正味
しょうめい,証明
しょうめい,照明
しょうめん,正面
しょうもう,消耗
じょうやく,条約
しょうゆ,醤油
しょうらい,将来
しょうり,勝利
じょうりく,上陸
しょうりゃく,省略
じょうりゅう,蒸留
しょうれい,奨励
じょおう,女王
じょがい,除外
しょきゅう,初級
じょきょうじゅ,助教授
しょくいん,職員
しょくえん,食塩
しょくぎょう,職業
しょくじ,食事
しょくたく,食卓
しょくどう,食堂
しょくにん,職人
しょくば,職場
しょくひん,食品
しょくぶつ,植物
しょくみんち,植民地
しょくむ,職務
しょくもつ,食物
しょくよく,食欲
しょくん,諸君
じょげん,助言
じょこう,徐行
しょさい,書斎
しょざい,所在
しょじ,所持
じょし,女子
じょし,女史
じょし,助詞
じょしゅ,助手
しょじゅん,初旬
じょじょに,徐々に
じょせい,女性
しょせき,書籍
しょぞく,所属
しょち,処置
しょっき,食器
しょてい,所定
しょてん,書店
しょどう,書道
じょどうし,助動詞
しょとく,所得
しょばつ,処罰
しょはん,初版
しょひょう,書評
しょぶん,処分
しょほ,初歩
しょみん,庶民
しょむ,庶務
しょめい,署名
しょもつ,書物
しょゆう,所有
じょゆう,女優
しょり,処理
しょるい,書類
しらが,白髪
しらせ,知らせ
しらせる,知らせる
しらべ,調べ
しらべる,調べる
しりあい,知り合い
しりつ,私立
じりつ,自立
しりょう,資料
しれい,指令
しろうと,素人
しんか,進化
しんがく,進学
じんかく,人格
しんかんせん,新幹線
しんぎ,審議
しんくう,真空
しんけい,神経
しんけん,真剣
しんこう,信仰
しんこう,進行
しんこう,新興
しんこう,振興
しんごう,信号
じんこう,人口
じんこう,人工
しんこく,深刻
しんこく,申告
しんこん,新婚
しんさ,審査
じんざい,人材
しんさつ,診察
しんし,紳士
じんじ,人事
しんじつ,真実
しんじゃ,信者
じんじゃ,神社
しんじゅ,真珠
じんしゅ,人種
しんしゅつ,進出
しんじょう,心情
しんしん,心身
しんじん,新人
しんせい,申請
しんせい,神聖
じんせい,人生
しんせき,親戚
しんせつ,親切
しんせん,新鮮
しんぜん,親善
しんそう,真相
しんぞう,心臓
じんぞう,人造
じんそく,迅速
しんたい,身体
しんだい,寝台
じんたい,人体
しんだん,診断
しんちく,新築
しんじゅう,心中
しんちょう,身長
しんちょう,慎重
しんてい,進呈
しんてん,進展
しんでん,神殿
しんど,進度
しんどう,振動
しんにゅう,侵入
しんにゅうせい,新入生
しんにん,信任
しんぱい,心配
しんぱん,審判
しんぴ,神秘
じんぶつ,人物
しんぶん,新聞
じんぶんかがく,人文科学
しんぽ,進歩
しんぼう,辛抱
じんみん,人民
じんめい,人命
しんや,深夜
しんゆう,親友
しんよう,信用
しんらい,信頼
しんり,心理
しんり,真理
しんりゃく,侵略
しんりょう,診療
しんりん,森林
しんるい,親類
じんるい,人類
しんろ,進路
しんわ,神話
すいえい,水泳
すいげん,水源
すいさん,水産
すいじ,炊事
すいじゅん,水準
すいじょうき,水蒸気
すいしん,推進
すいせん,推薦
すいせん,水洗
すいそ,水素
すいそう,吹奏
すいそく,推測
すいちょく,垂直
すいてい,推定
すいてき,水滴
すいでん,水田
すいとう,水筒
すいどう,水道
ずいひつ,随筆
すいぶん,水分
ずいぶん,随分
すいへい,水平
すいへいせん,水平線
すいみん,睡眠
すいめん,水面
すいり,推理
すう,吸う
すうがく,数学
すうし,数詞
すうじ,数字
すうはい,崇拝
すえつける,据え付ける
すえっこ,末っ子
すえる,据える
ずかん,図鑑
すき,好き
すききらい,好き嫌い
すきずき,好き好き
すきとおる,透き通る
すきま,隙間
すぎる,過ぎる
すくい,救い
すくう,救う
すくない,少ない
すぐれる,優れる
図形,図形
すこし,少し
すこしも,少しも
すごす,過ごす
すこやか,健やか
すずしい,涼しい
すすみ,進み
すすむ,進む
すずむ,涼む
すすめ,勧め
すすめる,進める
すすめる,勧める
すたれる,廃れる
ずつう,頭痛
すでに,既に
すなお,素直
ずのう,頭脳
すばやい,素早い
すばらしい,素晴らしい
ずひょう,図表
すべて,全て
すべる,滑る
すまい,住まい
すます,済ます
すませる,済ませる
すむ,住む
すむ,済む
すもう,相撲
する,刷る
するどい,鋭い
すれる,擦れる
すわる,座る
すんぽう,寸法
せいか,成果
せいかい,正解
せいかく,性格
せいかく,正確
せいかつ,生活
ぜいかん,税関
せいき,世紀
せいき,正規
せいぎ,正義
せいきゅう,請求
ぜいきん,税金
せいけい,生計
せいけつ,清潔
せいけん,政権
せいげん,制限
せいこう,成功
せいこう,精巧
せいざ,星座
せいさい,制裁
せいさく,政策
せいさん,生産
せいさん,清算
せいし,生死
せいし,静止
せいじ,政治
せいしき,正式
せいしつ,性質
せいじつ,誠実
せいじゅく,成熟
せいしゅん,青春
せいじゅん,清純
せいしょ,清書
せいしょ,聖書
せいじょう,正常
せいしょうねん,青少年
せいしん,精神
せいじん,成人
せいすう,整数
せいする,制する
せいぜい,精々
せいせき,成績
せいぜん,整然
せいそう,清掃
せいそう,盛装
せいぞう,製造
せいぞん,生存
せいだい,盛大
せいだく,清濁
ぜいたく,贅沢
せいてい,制定
せいてき,静的
せいてつ,製鉄
せいてん,晴天
せいと,生徒
せいど,制度
せいとう,正当
せいとう,政党
せいねん,青年
せいねん,成年
せいねんがっぴ,生年月日
せいのう,性能
せいび,整備
せいひん,製品
せいふ,政府
せいふく,制服
せいふく,征服
せいぶつ,生物
せいぶん,成分
せいべつ,性別
せいほう,製法
せいほうけい,正方形
せいみつ,精密
ぜいむしょ,税務署
せいめい,生命
せいめい,声明
せいめい,姓名
せいもん,正門
せいやく,制約
せいよう,西洋
せいり,整理
せいり,生理
せいりつ,成立
せいりょく,勢力
せいれき,西暦
せいれつ,整列
せおう,背負う
せかい,世界
せかす,急かす
せきたん,石炭
せきどう,赤道
せきにん,責任
せきむ,責務
せきゆ,石油
せけん,世間
せじ,世辞
せたい,世帯
ぜせい,是正
せだい,世代
せっかい,切開
せっかく,折角
せっきょくてき,積極的
せっきん,接近
せっけい,設計
せっけん,石鹸
せつじつ,切実
せっしょく,接触
めんせつ,面接
せつぞく,接続
せつぞくし,接続詞
ぜったい,絶対
せっち,設置
せっちゅう,折衷
せってい,設定
せっとく,説得
せつない,切ない
ぜっぱん,絶版
せつび,設備
ぜつぼう,絶望
せつめい,説明
ぜつめつ,絶滅
せつやく,節約
せつりつ,設立
せともの,瀬戸物
せなか,背中
ぜひとも,是非
せびろ,背広
せまい,狭い
せまる,迫る
せりふ,台詞
せろん,世論
せわ,世話
せんい,繊維
ぜんいん,全員
ぜんかい,全快
せんきょ,選挙
せんきょう,宣教
せんげん,宣言
ぜんご,前後
せんこう,専攻
せんこう,先行
せんこう,選考
ぜんこく,全国
せんさい,戦災
せんざい,洗剤
せんじつ,先日
ぜんしゃ,前者
せんしゅ,選手
せんしゅう,専修
ぜんしゅう,全集
せんじゅつ,戦術
ぜんしん,全身
ぜんしん,前進
せんす,扇子
せんすい,潜水
せんせい,先生
せんせい,専制
ぜんせい,全盛
ぜんぜん,全然
せんせんげつ,先先月
せんせんしゅう,先々週
せんぞ,先祖
せんそう,戦争
せんだい,先代
ぜんたい,全体
せんたく,洗濯
せんたく,選択
せんだって,先だって
せんたん,先端
センチ,センチメートル
せんちゃく,先着
ぜんてい,前提
せんでん,宣伝
せんてんてき,先天的
ぜんと,前途
せんとう,先頭
せんとう,戦闘
せんにゅう,潜入
せんぱい,先輩
せんぱく,船舶
ぜんぱん,全般
ぜんぶ,全部
せんぷうき,扇風機
ぜんめつ,全滅
せんめん,洗面
せんもん,専門
せんよう,専用
せんりょう,占領
ぜんりょう,善良
せんりょく,戦力
ぜんりょく,全力
ぜんれい,前例
せんろ,線路
そうい,相違
そういえば,そう言えば
そうおう,相応
そうおん,騒音
ぞうか,増加
そうかい,総会
そうかん,創刊
ぞうき,雑木
ぞうきょう,増強
そうきん,送金
ぞうきん,雑巾
ぞうげん,増減
そうこ,倉庫
そうご,相互
そうこう,走行
そうごう,総合
そうさ,操作
そうさ,捜査
そうさく,創作
そうさく,捜索
そうじ,掃除
そうしき,葬式
そうじゅう,操縦
ぞうしょう,蔵相
そうしょく,装飾
ぞうしん,増進
ぞうせん,造船
そうぞう,想像
そうぞう,創造
そうぞうしい,騒々しい
そうぞく,相続
そうたい,相対
そうだい,壮大
ぞうだい,増大
そうだん,相談
そうち,装置
そうとう,相当
そうどう,騒動
そうなん,遭難
そうば,相場
そうび,装備
そうべつ,送別
ぞうり,草履
そうりつ,創立
そうりょう,送料
そえる,添える
そくざに,即座に
そくしん,促進
そくする,即する
ぞくする,属する
ぞくぞく,続々
そくたつ,速達
そくてい,測定
そくど,速度
そくばく,束縛
そくめん,側面
そくりょう,測量
そくりょく,速力
そこなう,損なう
そざい,素材
そしき,組織
そし,阻止
そしつ,素質
そしょう,訴訟
そせん,祖先
そそぐ,注ぐ
そだち,育ち
そだつ,育つ
そだてる,育てる
そち,措置
そちら,そっち
そつぎょう,卒業
そっちょく,率直
そなえつける,備え付ける
そなえる,備える
そなわる,備わる
そのうえ,その上
そば,蕎麦
そふ,祖父
そぼく,祖母
そぼく,素朴
そまつ,粗末
そむく,背く
そまる,染まる
そめる,染める
そろえる,揃える
そんぞく,存続
そんがい,損害
そんけい,尊敬
そんざい,存在
そんしつ,損失
そんちょう,尊重
そんとく,損得
たいいく,体育
たいいん,退院
たいおう,対応
たいおん,体温
たいか,退化
たいかい,大会
たいがい,大概
たいかく,体格
たいがく,退学
だいがく,大学
だいがくいん,大学院
たいき,大気
たいきん,大金
だいきん,代金
だいく,大工
たいぐう,待遇
たいくつ,退屈
たいけい,体系
たいけつ,対決
たいけん,体験
たいこ,太鼓
たいこう,対抗
たいざい,滞在
たいさく,対策
たいし,大使
たいじ,退治
だいじ,大事
たいしゅう,大衆
たいじゅう,体重
たいしょ,対処
たいしょう,対象
たいしょう,対照
だいしょう,大小
だいじょうぶ,大丈夫
たいしょく,退職
だいじん,大臣
たいする,対する
だいする,題する
たいせい,体制
たいせい,態勢
たいせき,体積
たいせつ,大切
たいせん,大戦
たいそう,体操
だいたい,大体
たいだん,対談
だいたん,大胆
たいてい,大抵
たいど,態度
たいとう,対等
だいとうりょう,大統領
だいどころ,台所
だいなし,台無し
たいのう,滞納
たいはん,大半
たいひ,対比
だいひょう,代表
たいぶ,大部
たいふう,台風
だいぶぶん,大部分
だいべん,大便
だいべん,代弁
たいほ,逮捕
たいぼう,待望
たいぼく,大木
だいほん,台本
たいまん,怠慢
だいめい,題名
だいめいし,代名詞
たいめん,対面
たいよう,太陽
だいよう,代用
たいら,平ら
だいり,代理
たいりく,大陸
たいりつ,対立
たいりょく,体力
たいわ,対話
たうえ,田植え
たえず,絶えず
だえん,楕円
たおす,倒す
たおれる,倒れる
だかい,打開
たかまる,高まる
たかめる,高める
たがやす,耕す
たきび,焚火
だきょう,妥協
たくみ,巧み
たくわえる,蓄える
だげき,打撃
だけつ,妥結
ださく,駄作
たしか,確か
たしかめる,確かめる
たしょう,多少
たすかる,助かる
たすけ,助け
たすける,助ける
たずさわる,携わる
たずねる,訪ねる
たずねる,尋ねる
たたかい,戦い
たたかう,戦う
ただしい,正しい
ただちに,直ちに
たたむ,畳む
ただよう,漂う
たちあがる,立ち上がる
たちさる,立ち去る
たちどまる,立ち止まる
たちば,立場
たちよる,立ち寄る
だっこ,抱っこ
たっしゃ,達者
だっしゅつ,脱出
たっする,達する
だっする,脱する
たっせい,達成
だっせん,脱線
だったい,脱退
たてかえる,立て替える
たてまえ,建前
たてまつる,奉る
たてもの,建物
たてる,立てる
たてる,建てる
だとう,妥当
たどうし,他動詞
たとえ,例え
たとえば,例えば
たとえる,例える
たどりつく,辿り着く
たどる,辿る
たにん,他人
たのしい,楽しい
たのしみ,楽しみ
たのしむ,楽しむ
たのみ,頼み
たのむ,頼む
たのもしい,頼もしい
たばねる,束ねる
たびたび,足袋
たぶん,多分
たべる,食べる
たほう,他方
たぼう,多忙
たまう,給う
たまたま,偶々
たまり,溜まり
たまる,溜まる
だまる,黙る
たまわる,賜る
だめ,駄目
ためいき,溜息
ためし,試し
ためす,試す
たもつ,保つ
たよう,多様
たより,便り
たよる,頼る
たりる,足りる
たる,足る
たるみ,弛み
たるむ,弛む
たれる,垂れる
だれか,誰か
たんい,単位
たんいつ,単一
たんか,短歌
たんか,担架
だんかい,段階
たんき,短期
たんき,短気
だんけつ,団結
たんけん,探検
だんげん,断言
たんご,単語
たんこう,炭鉱
だんし,男子
たんしゅく,短縮
たんじゅん,単純
たんしょ,短所
たんじょう,誕生
たんすい,淡水
だんすい,断水
たんすう,単数
だんせい,男性
だんぜん,断然
たんそ,炭素
たんだい,短大
だんたい,団体
だんち,団地
たんちょう,単調
だんてい,断定
たんとう,担当
たんどく,単独
だんな,旦那
たんなる,単なる
たんに,単に
たんぱ,短波
たんぱくしつ,蛋白質
たんぺん,短編
だんぼう,暖房
だんめん,断面
だんりょく,弾力
ちあん,治安
ちい,地位
ちいき,地域
ちいさい,小さい
ちえ,知恵
ちか,地下
ちがえる,違える
ちかごろ,近頃
ちかすい,地下水
ちかぢか,近々
ちかづく,近付く
ちかづける,近付ける
ちかてつ,地下鉄
ちかよる,近寄る
ちからづよい,力強い
ちきゅう,地球
ちく,地区
ちくさん,畜産
ちくしょう,畜生
ちくせき,蓄積
ちけい,地形
ちこく,遅刻
ちじ,知事
ちしき,知識
ちしつ,地質
ちじん,知人
ちず,地図
ちせい,知性
ちたい,地帯
ちちおや,父親
ちぢまる,縮まる
ちぢむ,縮む
ちぢめる,縮める
ちぢれる,縮れる
ちつじょ,秩序
ちっそく,窒息
ちてき,知的
ちてん,地点
ちのう,知能
ちへいせん,地平線
ちほう,地方
ちめい,地名
ちゃいろ,茶色
ちゃくしゅ,着手
ちゃくしょく,着色
ちゃくせき,着席
ちゃくちゃく,着々
ちゃくもく,着目
ちゃくりく,着陸
ちゃっこう,着工
ちゃのま,茶の間
ちゃのゆ,茶の湯
ちゃわん,茶碗
ちゅうい,注意
ちゅうおう,中央
ちゅうがえり,宙返り
ちゅうがく,中学
ちゅうかん,中間
ちゅうけい,中継
ちゅうこ,中古
ちゅうこく,忠告
ちゅうし,中止
ちゅうじつ,忠実
ちゅうしゃ,注射
ちゅうしゃ,駐車
ちゅうじゅん,中旬
ちゅうしょう,中傷
ちゅうしょう,抽象
ちゅうしょく,昼食
ちゅうしん,中心
ちゅうすう,中枢
ちゅうせい,中世
ちゅうせい,中性
ちゅうせん,抽選
ちゅうだん,中断
ちゅうと,中途
ちゅうどく,中毒
ちゅうねん,中年
ちゅうふく,中腹
ちゅうもく,注目
ちゅうもん,注文
ちゅうりつ,中立
ちゅうわ,中和
ちょういん,調印
ちょうか,超過
ちょうかく,聴覚
ちょうかん,長官
ちょうき,長期
ちょうこう,聴講
ちょうこく,彫刻
ちょうさ,調査
ちょうし,調子
ちょうしゅう,徴収
ちょうしょ,長所
ちょうじょ,長女
ちょうじょう,頂上
ちょうしんき,聴診器
ちょうせい,調整
ちょうせつ,調節
ちょうせん,挑戦
ちょうたん,長短
ちょうてい,調停
ちょうてん,頂点
ちょうなん,長男
ちょうへん,長編
ちょうほう,重宝
ちょうほうけい,長方形
ちょうみりょう,調味料
ちょうり,調理
ちょうわ,調和
ちょきん,貯金
ちょくご,直後
ちょくせつ,直接
ちょくせん,直線
ちょくぜん,直前
ちょくつう,直通
ちょくめん,直面
ちょくりゅう,直流
ちょしゃ,著者
ちょしょ,著書
ちょぞう,貯蔵
ちょちく,貯蓄
ちょっかく,直角
ちょっかん,直感
ちょっけい,直径
ちょめい,著名
ちらかす,散らかす
ちらかる,散らかる
ちらす,散らす
ちり,地理
ちりとり,塵取り
ちりがみ,塵紙
ちりょう,治療
ちる,散る
ちんぎん,賃金
ちんでん,沈殿
ちんぼつ,沈没
ちんもく,沈黙
ちんれつ,陳列
ついに,遂に
ついか,追加
ついきゅう,追及
ついせき,追跡
ついたち,一日
ついで,ついで
ついほう,追放
ついやす,費やす
ついらく,墜落
つうか,通過
つうか,通貨
つうがく,通学
つうかん,痛感
つうきん,通勤
つうこう,通行
つうじょう,通常
つうしん,通信
つうせつ,痛切
つうち,通知
つうちょう,通帳
つうやく,通訳
つうよう,通用
つうろ,通路
つかいみち,使い道
つかう,使う
つかえる,仕える
つかさどる,司る
つかのま,つかのま
つかまえる,捕まえる
つかまる,捕まる
つかむ,掴む
つかれ,疲れ
つかれる,疲れる
つきあい,付き合い
つきあう,付き合う
つきあたり,突き当たり
つきあたる,突き当たる
つぎつぎ,次々
つきなみ,月並み
つぎめ,継ぎ目
つきる,尽きる
つくす,尽くす
つくろう,繕う
つげる,告げる
つごう,都合
つたえる,伝える
つたわる,伝わる
つづける,続ける
つっこむ,突っ込む
つつしむ,慎む
つっぱる,突っ張る
つつみ,包み
つつむ,包む
つとまる,務まる
つとめ,勤め
つとめさき,勤め先
つとめて,努めて
つとめる,勤める
つとめる,務める
つとめる,努める
つながり,繋がり
つながる,繋がる
つなぐ,繋ぐ
つなげる,繋げる
つなみ,津波
つのる,募る
つぶす,潰す
つぶやく,呟く
つぶれる,潰れる
つまむ,摘む
つまる,詰まる
つむ,積む
つめたい,冷たい
つめる,詰める
つもる,積もる
つゆ,梅雨
つよい,強い
つよき,強気
つよまる,強まる
つよめる,強める
つらなる,連なる
つらぬく,貫く
つらねる,連ねる
つり,釣り
つり合う,釣り合う
つりがね,釣鐘
つりかわ,吊革
つる,釣る
つる,吊る
つるす,吊るす
つれ,連れ
つれる,連れる
てあて,手当て
てあらい,手洗い
ていあん,提案
ていいん,定員
ていか,定価
ていか,低下
ていき,定期
ていぎ,定義
ていきけん,定期券
ていきゅうび,定休日
ていきょう,提供
ていけい,提携
ていこう,抵抗
ていさい,体裁
ていし,停止
ていじ,提示
ていしゃ,停車
ていしゅつ,提出
ていしょく,定食
ていせい,訂正
ていたい,停滞
ていたく,邸宅
ていでん,停電
ていど,程度
ていねい,丁寧
ていねん,定年
ていぼう,堤防
ていりゅうじょ,停留所
ていれ,手入れ
ておくれ,手遅れ
てがかり,手掛かり
てがける,手掛ける
でかける,出掛ける
てかず,手数
てがみ,手紙
てがる,手軽
できあがり,出来上がり
できあがる,出来上がる
てきおう,適応
てきぎ,適宜
できごと,出来事
てきする,適する
てきせい,適性
てきせつ,適切
てきど,適度
てきとう,適当
てきよう,適用
てぎわ,手際
でぐち,出口
てくび,手首
でくわす,出くわす
でこぼこ,凸凹
てごろ,手頃
でし,弟子
てじな,手品
てじゅん,手順
てじょう,手錠
てちょう,手帳
てぢか,手近
てつがく,哲学
てっきょう,鉄橋
てっこう,鉄鋼
てっする,徹する
てつだい,手伝い
てつだう,手伝う
てつづき,手続き
てってい,徹底
てつどう,鉄道
てつぼう,鉄棒
てっぽう,鉄砲
てつや,徹夜
でなおし,出直し
てぬぐい,手拭い
てはい,手配
てはず,手筈
てびき,手引き
てぶくろ,手袋
てほん,手本
てま,手間
てまえ,手前
てまわし,手回し
でむかえ,出迎え
でむかえる,出迎える
てもと,手元
てらす,照らす
てる,照る
てりかえす,照り返す
でる,出る
てわけ,手分け
てんいん,店員
でんえん,田園
てんか,天下
てんか,点火
てんかい,展開
てんかい,転回
てんかん,転換
てんき,天気
でんき,電気
でんき,伝記
でんきゅう,電球
てんきょ,転居
てんきん,転勤
てんけい,典型
てんけん,点検
でんげん,電源
てんこう,天候
てんこう,転校
てんごく,天国
でんごん,伝言
てんさい,天才
てんさい,天災
でんし,電子
てんじ,展示
でんしゃ,電車
てんじょう,天井
てんすう,点数
でんせつ,伝説
てんせん,点線
でんせん,伝染
でんせん,電線
てんたい,天体
でんたつ,伝達
てんち,天地
でんち,電池
てんてん,点々
てんてん,転々
でんちゅう,電柱
でんとう,電灯
でんとう,伝統
てんにん,転任
てんねん,天然
てんのう,天皇
でんぱ,電波
てんぼう,展望
でんぽう,電報
でんらい,伝来
てんらく,転落
てんらん会,展覧会
でんりゅう,電流
でんりょく,電力
でんわ,電話
といあわせ,問い合わせ
といあわせる,問い合わせる
とうあん,答案
どうい,同意
とういつ,統一
どういつ,同一
どういん,動員
どうかく,同格
どうかん,同感
とうき,陶器
とうぎ,討議
どうき,動機
とうきゅう,等級
どうきゅう,同級
どうきょ,同居
どうぐ,道具
とうけい,統計
とうこう,登校
とうごう,統合
どうこう,動向
どうさ,動作
とうざい,東西
とうさん,倒産
とうし,投資
とうじ,当時
どうし,動詞
どうし,同士
どうし,同志
どうじ,同時
とうじつ,当日
とうしょ,投書
とうじょう,登場
どうじょう,同情
どうじょう,道場
とうせい,統制
とうせん,当選
とうそう,逃走
とうそつ,統率
とうだい,灯台
とうたつ,到達
とうち,統治
とうちゃく,到着
どうちょう,同調
とうてい,到底
どうてき,動的
どうとう,同等
どうどう,堂々
どうとく,道徳
とうとぶ,尊ぶ
とうなん,盗難
とうにゅう,投入
どうにゅう,導入
とうにん,当人
とうばん,当番
とうひょう,投票
どうふう,同封
どうぶつ,動物
とうぶん,等分
とうぼう,逃亡
とうみん,冬眠
とうめい,透明
どうめい,同盟
とうゆ,灯油
とうよう,東洋
どうよう,同様
どうよう,童謡
どうよう,動揺
どうりょう,同僚
どうりょく,動力
どうろ,道路
とうろく,登録
とうろん,討論
どうわ,童話
とおい,遠い
とおか,十日
とおく,遠く
とおざかる,遠ざかる
とおす,通す
とおまわり,遠回り
とおりかかる,通りかかる
とおりすぎる,通り過ぎる
とおる,通る
とかい,都会
とかす,溶かす
とがる,尖る
ときおり,時折
ときどき,時々
とく,溶く
とく,解く
とく,説く
とぐ,研ぐ
どく,退く
とくい,得意
とくぎ,特技
どくさい,独裁
とくさん,特産
どくじ,独自
どくしゃ,読者
とくしゅ,特殊
とくしゅう,特集
どくしょ,読書
とくしょく,特色
どくしん,独身
どくせん,独占
どくそう,独創
とくてい,特定
とくてん,得点
どくとく,独特
とくは,特派
とくばい,特売
とくべつ,特別
とくゆう,特有
どくりつ,独立
とけい,時計
とけこむ,溶け込む
とける,溶ける
とける,解ける
とげる,遂げる
どける,退ける
とこのま,床の間
とこや,床屋
ところどころ,所々
とざん,登山
とし,都市
としごろ,年頃
とじまり,戸締り
としょ,図書
とじょう,途上
としより,年寄り
とじる,閉じる
とじる,綴じる
としん,都心
どだい,土台
とだえる,途絶える
とだな,戸棚
とたん,途端
とち,土地
とちゅう,途中
とっきゅう,特急
とっきょ,特許
とっけん,特権
とつじょ,突如
とつぜん,突然
とっぱ,突破
どて,土手
とどく,届く
とどけ,届け
とどける,届ける
とどこおる,滞る
ととのう,整う
ととのえる,整える
となえる,唱える
となり,隣り
とのさま,殿様
とばす,飛ばす
とびこむ,飛び込む
とびだす,飛び出す
どひょう,土俵
とぶ,飛ぶ
とぶ,跳ぶ
とほ,徒歩
どぼく,土木
とぼしい,乏しい
とまる,止まる
とまる,留まる
とまる,泊る
とむ,富む
ともかせぎ,共稼ぎ
ともだち,友達
ともなう,伴う
とらえる,捕らえる
とりあげる,取り上げる
とりあつかい,取り扱い
とりあつかう,取り扱う
とりい,鳥居
とりいれる,取り入れる
とりかえ,取り替え
とりかえる,取り替える
とりくむ,取り組む
とりけす,取り消す
とりしまり,取り締まり
とりしまる,取り締まる
とりしらべる,取り調べる
とりだす,取り出す
とりたてる,取り立てる
とりつぐ,取り次ぐ
とりつける,取り付ける
とりのぞく,取り除く
とりひき,取り引き
とりまく,取り巻く
とりまぜる,取り混ぜる
とりもどす,取り戻す
どりょく,努力
とりよせる,取り寄せる
どろぼう,泥棒
どんかん,鈍感
どわすれ,度忘れ
とんや,問屋
ない,無い
ないか,内科
ないかく,内閣
ないし,乃至
ないしょ,内緒
ないしん,内心
ないせん,内線
ないぞう,内臓
ないぶ,内部
ないよう,内容
ないらん,内乱
ないりく,内陸
ながし,流し
ながす,流す
なかなおり,仲直り
ながなが,長々
なかば,半ば
ながびく,長引く
なかほど,中程
なかま,仲間
ながめ,眺め
