汉字,词义
げらげら,哈哈大笑状
下痢,腹泻
蹴る,用脚踢
けれども,表示转折关系
険しい,险峻的
原案,原来的想法
権威,权威
原因,原因
現役,在位的
検閲,检查
喧嘩,争吵
原価,原价
限界,界限
見学,实地参观
厳格,严格
玄関,大门
元気,有活力
研究,研究
献金,捐款
現金,现金
原型,原型
権限,权限
言語,语言
健康,身体状况
原稿,稿子
検査,检查
現在,现在
検索,检索
検察,检查
原子,原子
原始,原始
見識,见识
堅実,可靠
現実,现实
研修,进修
厳重,严密
謙譲,谦让
減少,减少
現象,现象
現状,现状
牽制,牵制
建設,建造
健全,健全
元素,元素
建造,建造
幻想,幻想
原則,原则
謙遜,谦逊
現代,现代
現地,现场
建築,建筑
検定,审定
限定,限定
原点,原点
限度,限度
検討,调查研究
見当,大概的方向
現場,现场
原爆,原子弹
顕微鏡,显微镜
見物,参观名胜
憲法,宪法
厳密,严密地
懸命,拼命努力
賢明,贤明
幻滅,幻灭
倹約,节俭
権利,权利
原理,原理
原料,原料
権力,权利
言論,言论
碁棋,围
恋,恋情
鯉,鲤鱼
濃い,颜色深
故意,故意
語彙,词汇
恋しい,怀念
恋人,恋人
請う,请求
行為,行为
好意,好意
厚意,厚意
合意,同意
光陰,光阴
強引,强行
豪雨,大雨
幸運,幸运
光栄,光荣
公園,公园
後援,后援
講演,讲演
公演,公演
硬化,硬化
効果,效果
降下,下降
硬貨,硬币
後悔,后悔
公開,公开
航海,航海
公海,公海
公害,公害
合格,合格
交換,交换
好感,好感
好奇,好奇
広義,广义
講義,讲课
抗議,抗议
好奇心,好奇心
高級,级别高的
公共,公共
好況,繁荣，好景象
工業,工业
航空,航空
合計,合计
攻撃,攻击
豪傑,豪杰
貢献,贡献
口語,口语
孝行,孝顺
高校,高中
広告,广告
交差,交叉
講座,讲座
交際,交际
功罪,功过
工作,手工
考察,考虑
降参,投降
公私,公私
講師,讲师
工事,工事
公式,数学公式
口実,借口
公衆,公众
講習,讲习
交渉,交涉
工場,工厂
向上,向上
強情,顽固
講じる,讲授
更新,更新
後進,后来者
香水,香水
降水,降水
洪水,洪水
公正,公正
校正,校对
構成,构成
合成,合成
功績,业绩
構想,构思
高層,高空
構造,构造
高速,高速
交代，交替,替换
後退,后退
光沢,光泽
耕地,耕地
好調,顺利
交通,交通
公定,公认的
肯定,肯定
好転,好转
高等,高等的
行動,行动
講堂,讲堂
合同,结合
購入,购买
公認,公认
後任,后任
後輩,低年级同学
荒廃,荒芜
購買,购买
勾配,倾斜
後半,后半
交番,轮班
公表,公开发表
好評,好评
幸福,幸福
興奮,兴奋
公平,公平
合弁,共同经营
候補,候补
広報,宣传
被る,遭受损害或屈辱
公用,公用
行楽,游览
合理,合理
交流,交流
合流,汇合
考慮,考虑
高齢,高龄
声,人或是动物所发出的声音
越える，超える,超过
肥える,肥胖
氷,冰
凍る,结冰
誤解,误解
焦がす,烧焦
小型，小形,小型
小切手,支票
呼吸,呼吸
故郷,故乡
漕ぐ,划船
国語,国文
国際,国际
国籍,国籍
国土,国土
告白,自白
告発,告发
国民,国民
穀物,谷物
極楽,极乐世界
焦げる,烧焦
此処,这里
午後,午后
心地,感觉
心,精神
心当たり,估计
心得,理解
心掛け,留意
志す,以……为目标
試みる,尝试
心持ち,心情
心行く,尽情
快い,舒服
腰,腰
個室,单人间
こじつける,牵强附会
故障,故障
後生,来世
拵える,制作
拗れる,别扭
個人,个人
越す,穿过
梢,树梢
擦る,擦
個性,个性
午前,上午
挙って,全
固体,固体
古代,古代
答える,回答
拘る,讲究
ご馳走,款待
誇張,夸张
此方,这里
骨,死者的骨灰
国家,国家
国会,国会
小遣い,零花钱
骨格,骨架
国境,国境
滑稽,滑稽
ごっこ,儿童玩的游戏
こつこつ,勤奋
固定,固定
古典,古典
事,事情
琴,琴
事柄,事情
孤独,孤独
悉く,一切
殊更,特别
今年,今年
如し,如同
言付け,口信
異なる,不同
殊に,特别地
言葉,语言
子供,自己的儿女
諺,成语
断る,谢绝
粉,粉末
こなす,捣碎
こなれる,消化
捏ねる,捏
この,这
この頃,最近
好もしい,受欢迎的
好む,爱好
拒む,拒绝
ご飯,饭
語尾,词尾
媚びる,献媚
瘤,瘤
ご無沙汰,疏于问候
拳,拳头
零す,洒
零れる,漏
駒,马
細かい,细微
誤魔化す,骗人
困る,处于困境
ごみ,垃圾
込み上げる,涌现
込む,拥挤
米,稻米
込める,填装
御免,原谅
籠,隐居
顧問,顾问
小屋,简陋的小房子
肥やす,施肥
今宵,今晚
雇用,雇用
御用,事情
暦,历法
堪える,忍耐
娯楽,娱乐
凝らす,使凝固
孤立,孤立
五里霧中,五里雾中
懲りる,接受了……的教训
凝る,肌肉变硬
此れ，是,此
頃,时期
頃,左右
転がす,滚动
転がる,滚动
ごろごろ,汽车
殺す,杀害
転ぶ,跌倒
怖い,恐惧
こわごわ,提心吊胆
壊す,破坏
声高,高声
強張る,生硬
壊れる,乱七八糟
根気,韧性
根拠,理由
混血,混血
今月,本月
今後,今后
言語,语言
混交,混杂
混合,混合
混雑,拥挤
今週,本周
根性,性质
今度,这次
混同,混同
困難,困难的
今日,今天
今晩,今晚
根本,基本
今夜,今夜
婚約,订婚
混乱,混乱
困惑,困惑
際,之际
最悪,最糟
罪悪,罪恶
再会,再会
災害,灾害
再起,重新出台
最近,最近
細工,工艺
採決,表决
歳月,岁月
債券,债券
再建,重建
最後,最后
最期,临死
在庫,库存
最高,最高的
再三,再三
採算,核算
財産,财产
際して,适值……之际
最終,最终
採集,采集
最初,最初
最小,最小
最少,最少
最上,最高
最新,最新
細心,细心
再生,起死回生
財政,财政
最善,最好的
最先端,最先进
催促,催促
最大,最大
最短,最短
財団,财团
最中,最盛的时候
最長,时期最长
最低,最低
採点,打分
苛む,虐待
災難,灾难
在任,在任
才能,才能
采配,指挥
栽培,栽培
再発,复发
裁判,审判
財布,钱包
細胞,生物的细胞
催眠,催眠
材木,木材
採用,采用
最良,最好的
材料,原料
幸い,幸福
遮る,遮挡
囀る,鸣叫
冴える,清晰
竿，棹,竹竿
坂,斜坡
境,国境
栄える,繁荣
逆さ,相反
探す，捜す,追踪
魚,鱼
肴,下酒菜
遡る,逆水行舟
逆らう,逆行
盛り,最盛时期
下がる,下降
先,尖端
作業,工作
咲く,开花
裂く,撕裂
策,计划
索引,索引
削減,减少
錯誤,错误
昨日,昨天
作者,作者
搾取,榨取
削除,删除
作製,制作
作成,做成
作戦,军队的作战
昨年,去年
作品,作品
作文,作文
作物,作物
桜,樱花
探る,摸
酒,酒
蔑む,蔑视
叫ぶ,大声叫喊
裂ける,裂开
避ける,避免
下げる,降低
支える,支撑
捧げる,捧起
細やか,细小
囁く,小声说话
匙,匙子
差し上げる,举起
差し当たり,目前
座敷,客厅
差し込む,插入
指図,指示
差し出す,拿出
差し支える,影响
差し控える,控制
刺す,刺
指す,指给人看
差す,倒水
挿す,插
さすが,到底是
授ける,授予
摩る,摩
座席,座位
挫折,中途失败
誘う,邀请
沙汰,通信
定まる,决定
定める,决定目标等
幸,美食
撮影,拍照
作家,作家
錯覚,错觉
雑誌,杂志
察する,推测
早速,赶紧
殺到,蜂拥而至
雑踏,人潮如流
さっぱり,素雅的
里,老家
聡い,聪明的
砂糖,白砂糖
悟る,醒悟
宛ら,宛如
裁く,审判
砂漠,沙漠
捌ける,畅销
寂しい,寂寞
座標,坐标
錆びる,生锈
差別,歧视
作法,惯例
様,敬称
冷ます,弄凉
覚ます,睡醒
妨げる,妨碍
彷徨う,徘徊
寒い,寒冷
侍,武士
冷める,变冷
覚める,酒醒
褪める,褪色
左右,左右
作用,作用
左翼,左翅膀
さよなら,再见
皿,盘子
更更,丝毫
晒す,晒
更に,进一步
猿,猴子
去る,离去
然る,某
騒がしい,吵闹
騒ぐ,吵闹
ざわめく,嘈杂
爽やか,爽快
触る,轻轻地接触
障る,妨碍
さん,用在人名
参加,参加
酸化,酸化
三角,三角
山岳,山岳
参議院,参议院
産業,产业
残業,加班
参考,参考
残酷,残酷
産出,生产
参照,参照
賛成,赞成
酸性,酸性
山積,堆积如山
酸素,氧
山頂,山顶
賛同,赞同
残念,遗憾
参拝,参拜
賛否,赞成与反对
散文,散文
散歩,散步
山脈,山脉
試合,比赛
仕上げる,结束
幸せ,幸福
強いる,强迫
仕入れる,进货
仕打ち,对待
自衛,自卫
支援,支援
塩,食盐
潮,潮
塩辛い,咸
萎れる,枯萎
鹿,鹿
自我,自我
司会,司仪
紫外線,紫外线
四角,四角
視覚,视觉
資格,资格
私学,私立学校
自覚,自我意识
仕掛ける,着手
然し，併し,但是
仕方,方法
しかも,而且
叱る,训斥
時間,小时
式,仪式
四季,四季
指揮,指挥
時期,时期
時機,时机
色彩,色彩
敷地,土地
式典,仪式
支給,支付
至急,紧急
自給,自给
死去,死去
事業,事业
頻りに,屡次
仕切る,隔开
資金,资金
敷く,铺被子等
軸,轴心
仕草,行为
しくじる,搞坏
仕組む,设计
刺激,刺激
茂る,繁茂
試験,考试
資源,资源
事件,事件
次元,数学中用于表示空间范围的次元
時限,时限
自己,自己
事故,事故
思考,思考
嗜好,嗜好
志向,志向
施行,实施
事項,事项
時効,时效
時刻,时刻
地獄,地狱
仕事,工作
仕込む,教育
時差,时差
自在,自如
自殺,自杀
資産,资产
持参,带来
支持,支持
指示,指示
事実,事实上
支社,分公司
死者,死者
磁石,磁石
自主,自主
始終,自始至终
自粛,自己控制自己
支出,支出
辞書,辞书
史上,历史上
市場,市场
事情,状态
辞職,辞职
自身,自身
自信,自信
地震,地震
指数,指数
静か,安静
静まる,变安静
鎮まる,气势变弱
沈む,沉没
沈める,使……下沉
静める,使……安静
鎮める,减少
辞する,辞退
姿勢,姿势
自制,自制
施設,设备
時節,季节
視線,视线
自然,大自然
思想,思想
子息,儿子
時速,时速
持続,持续
子孫,子孙
下,下部
舌,舌头
次第,顺序
自体,自身
事態,事态
時代,时势
慕う,怀念
下請け,承包
従う,服从
従って,由于
支度，仕度,准备
自宅,自己家
親しい,亲密
親しむ,亲近
強か,强烈
滴る,滴落
下手,比别人差
仕立てる,做衣服
質,典当品
自治,自治
市長,市长
視聴,视听
自重,自重
質,素质
実,实体
実家,娘家
失格,不配
しっかり,牢固地
疾患,疾病
失業,失业
躾,教养
仕付ける,管教
執権,执政
実験,实验
実現,实现
しつこい,浓艳
執行,执行
実行,实行
実際,实际
実施,实施
実習,实习
実情,实情
実践,实践
質素,素质
実態,实际情况
嫉妬,嫉妒
湿度,湿度
じっと,一动不动
しっとり,湿润
実に,真的
実は,说实话
失敗,错误
実物,实物
尻尾,尾巴
失望,失望
実務,具体工作
質問,质问
実用,实用
設える,陈设
質量,物质的量
実力,实力
失礼,失礼
失恋,失恋
指定,指定
指摘,指出
支店,分店
視点,视线所至
辞典,词典
自転車,自行车
指導,指导
児童,儿童玩的游戏
自動,自动
品,物品
撓う,弯曲
品物,物品
老舗,老字号
死人,死人
死ぬ,死亡
凌ぐ,忍耐
偲ぶ,追忆
柴,柴火
支配,支配
芝居,戏剧
自白,坦白
自発,自发
芝生,草坪
暫く,一会儿
縛る,捆绑
辞表,辞职书
痺れる,麻痹
渋い,苦涩
事物,事物
自分,自身
紙幣,纸币
四方,四方
志望,愿望
脂肪,脂肪
死亡,死亡
萎む,衰弱
凋む,凋谢
絞る，搾る,挤
資本,资本
島,岛屿
仕舞う,收拾
了う,表示完了
始末,处理
閉まる,关门
締まる,不宽松
自慢,骄傲
地味,简朴
染み込む,渗
地道,踏实
染みる,渗透
じみる,染上
市民,市民
事務,事务
使命,使命
指名,推荐
締めきり,最终期限
じめじめ,湿润
示す,出示
閉める,关闭
締める，絞める,系
占める,占有
湿る,湿
下,下方
霜,霜
地元,本地
視野,视野
釈迦,释迦牟尼
社会,社会
蹲む,蹲下
弱点,弱点
釈放,释放
釈明,阐明
社交,社交
謝罪,谢罪
写実,写实
写真,照片
写生,写生
謝絶,谢绝
社長,社长
若干,若干
借金,借钱
喋る,聊天
邪魔,障碍物
三味線,日本的三弦琴
洒落,玩笑
洒落る,潇洒
私有,私有
雌雄,雌雄
週,周
自由,自由
周囲,周围
縦横,纵横
集会,集会
収穫,农作物等的收获
就学,就学
週刊,周刊
習慣,习惯
周期,周期
祝儀,祝贺的仪式
宗教,宗教
就業,就职
修業,学习
集計,统计
集合,集合
秀才,学识
終始,始终
修士,硕士
収支,收支
終止,终止
重視,重视
従事,从事
十字架,十字架
充実,充实
収拾,收拾
収集,收集
従順,温顺
住所,住所
就職,就职
修飾,修饰
重心,重心
修正,修正
習性,习性
渋滞,进展不顺利
重大,重大
住宅,住宅
集団,集团
周知,众所周知
執着,执著
集中,集中
重点,重点
舅,公公
姑,婆母
習得,学到知识
修得,学会
柔軟,柔软
収入,所得
執念,热情或执著的念头
秋分,秋分
十分,许多
住民,住户
重役,重要职务
重要,重要
従来,素来
修理,修缮
終了,终了
重量,重量
重力,重力
収賄,受贿
主観,主观
主義,主义
修業,学习知识
儒教,儒教
授業,传授知识
塾,私塾
祝賀,祝贺
熟語,熟语
祝日,政府所规定的节假日
縮小,缩小
熟す,果实
宿題,作业
宿泊,在外面住宿
祝福,祝福
宿命,宿命
熟慮,深思熟虑
熟練,熟练
主権,主权
受験,参加考试
主催,主持
取材,采访
趣旨,宗旨
主旨,主旨
種種,种种
手術,手术
首相,首相
主食,主食
主人,经营者
受診,接受诊疗
受信,接受信号
主体,主要部分
主題,主体
手段,手段
主張,主张
術,方法
出演,演出
出荷,装运
出火,着火
出勤,出動
出家,出家
出産,出生
出資,出资
出場,出场
出身,出生地
出世,出生
出生,出生
出席,出席
出張,出差
出入,出入
出発,出发
出版,出版
出力,输出
首都,首都
主導,主导
受動,被动
取得,取得
守備,守卫
首尾,始终
主賓,主宾
主婦,家庭主妇
趣味,兴趣
寿命,人的寿命
種目,项目
主役,主角
主要,主要
受容,接受
需要,需求
主流,主流
主力,中心势力
種類,种类
手腕,手腕
順位,顺序
潤滑油,润滑油
瞬間,瞬间
循環,循环
順序,顺序
準じる,按照
純真,纯真
純粋,纯粹
順調,顺利
順番,顺序
準備,准备
使用,使用
仕様,做法
試用,试用
私用,私事
上位,高的地位
上映,上映
上演,上演
消化,消化
消火,灭火
昇華,固体的气化
生姜,生姜
紹介,介绍
障害,妨碍
生涯,生涯
正月,正月
将棋,象棋
定規,尺子
乗客,乘客
昇給,加工资
商業,商业
状況,状况
情況,情况
消極,消极
上下,上下
情景,情景
衝撃,冲击
証言,作证
条件,条件
証拠,证据
正午,中午
照合,对照
条項,条文
詳細,详细
賞賛，称賛,称赞
障子,拉门
上司,上司
正直,正直
常識,常识
乗車,乘车
少女,少女
上昇,上升
生じる,产生
乗じる,乘机
昇進,晋升
小人,小人
精進,精进修行
上手,娴熟
少数,少数
情勢,状况
定石,一定招数
小説,小说
尚早,时机未到
肖像,肖像
消息,消息
招待,招待
正体,原形
状態,状况
承諾,应允
上達,学习
冗談,玩笑话
承知,知道
情緒,风趣
象徴,象征
商店,商店
焦点,中心
衝動,冲动
上等,高级的
消毒,消毒
衝突,相撞
承認,承认
証人,证人
商人,商人
情熱,热情
少年,少年
勝敗,胜败
商売,生意
蒸発,蒸发
消費,消费
賞品,奖品
商品,商品
上品,洗练
勝負,胜败
丈夫,健康的
譲歩,让步
消防,消防
情報,情报
賞味,品尝
正味,净重
静脈,静脉
証明,证明
照明,照明
正面,前面
消耗,消耗
条約,条约
将来,将来
勝利,胜利
省略,省略
上流,河流的上游
浄瑠璃,净玻璃
奨励,奖励
除外,除外
書簡,书信
初期,时代的初始
暑気,暑气
初級,初级
職員,职员，工作人员
職業,职业
食事,吃饭
織女,织女
食堂,食堂
職人,手艺人
職場,工作场所
食品,食品
植物,植物
職務,职务
食物,食物
食欲,食欲
食料,食物
しょげる,泄气
助言,劝告
所作,举止
書斎,书斋
叙述,叙述
処女,处女
叙情,抒情
徐々に,慢慢地
初心,没有经验
所信,信念
処する,处于
女性,女性
書籍,书籍
所詮,反正
所属,所属
所帯,家庭
処置,处理
食器,餐具
しょっちゅう,经常
しょっぱい,咸的
所得,所得
処分,处理
処方,处方
庶民,平民
署名,署名
除名,除名
書物,书籍
所有,所有
処理,处理
助力,帮忙
書類,资料
白々,天亮
白々しい,显而易见地
焦らす,使……焦急
知らせる,通知
調べる,调查
尻,臀部
じりじり,铃声等
退く,后退
退ける,避开
私立,私立
自立,自立
思慮,深思熟虑
資料,资料
汁,果汁
知る,知道
印,记号
記す,写下
辞令,任免证书
知れる,被知道
白,白色
城,城堡
白い,白
素人,外行
白黒,黑白
皺,皱纹
師走,12月的别称
芯,芯
新鋭,新锐
進化,进化
侵害,侵害
心外,意外
進学,升班
人格,人格
審議,审议
進級,升级
心境,心境
進境,进步的程度
しんきん,亲近
真空,真空
神経,神经
真剣,真刀
人権,人权
信仰,信仰
進行,前进
振興,振兴
新興,新兴
信号,信号
人口,人口
人工,人工
申告,申报
深刻,深刻的
新婚,新婚
審査,审查
人材,人才
診察,诊疗
紳士,绅士
人事,人事
新式,新式
真実,真实
信者,信徒
神社,神社
真珠,珍珠
人種,人种
心中,一起自尽
進出,进入
尋常,寻常
信じる,信仰
心身,身心
新人,新手
神聖,神圣
申請,申请
人生,人生
親戚,亲戚
親切,体贴
新鮮,新鲜
親善,搞好关系
真相,真相
心臓,心脏
進退,进退
診断,诊断
身長,身高
慎重,慎重
進展,进步
震度,震级
進度,进度
浸透,渗透
振動,振动
震動,震动
人道,人道
侵入,侵入
新年,新年
信念,信念
心配,担心
審判,审判
神秘,神秘
新婦,新娘
人物,人
新聞,报刊
進歩,进步
辛抱,忍耐
人望,人望
神妙,老实
しんみり,深刻地
深夜,深夜
親友,挚友
信用,信赖
信頼,信赖
心理,精神活动
真理,真理
侵略,侵略
尽力,尽力
親類,亲戚
人類,人类
進路,前进方向
新郎,新郎
神話,神话
酢,醋
素足,赤脚
水泳,游泳
水害,水害
推敲,推敲
遂行,完成
随行,随从
吸い込む,吸收
炊事,炊事
衰弱,衰弱
水準,标准
水上,水上
水蒸気,水蒸气
推進,推进
推薦,推荐
推測,推测
垂直,垂直
吸い付く,紧贴
推定,推定
水道,自来水设施
吸い取る,吸取
随筆,随笔
随分,非常
水平,水平
睡眠,睡眠
水面,水面
推理,推理
推量,推测
吸う,呼吸
数学,数学
数字,数字
図図しい,厚颜无耻的
崇拝,崇拜
末,末尾
据え付ける,安装
据える,摆放
素顔,未化妆的脸
透かす,留下缝隙
清清しい,空气清爽
姿,姿势
縋る,扶
好き,喜爱的
透き,缝隙
過ぎ去る,离去
透き通る,透明
隙間,缝隙
過ぎる,通过
空く,空
透く,透明
直ぐ,马上
掬う,掬起
救う,救助
少ない,少
ずくめ,表示颜色一致
優れる,出色
凄い,可怕
少し,少量
過ごす,度过
筋,线
筋道,道理
素性,天生的
濯ぐ,洗涤
漱ぐ,漱口
雪ぐ,雪耻
涼しい,凉快
進む,前进
雀,麻雀
進める,向前进
勧める,建议
薦める,推荐
硯,砚
裾,衣摆
廃れる,过时
すっかり,全部
すっきり,心情爽快
ずっと,时间
酸っぱい,酸
すっぽり,全盘
鼈,甲鱼
既に,已经
捨てる,扔掉
砂,沙子
素直,正直
即ち,即
脛,小腿
拗ねる,执拗
頭脳,脑
素早い,行动快
素晴らしい,出色
全て,全部
滑る,下滑
窄む,变细
住まう,居住
済ます,结束
澄ます,澄清
隅,角落
速やか,快速
住む,居住
済む,结束
澄む,清澈
相撲,相扑
する,做
擦る，磨る，擂る,擦
刷る,印刷
掏る,扒窃
狡い,狡猾
鋭い,锋利的
すれ違う,走岔开
摩れる，擦れる,摩擦
ずれる,移动
座る，坐る,坐
寸法,尺寸
すんなり,苗条
所為,原因
誠意,诚意
生育,成长
声援,声援
西欧,西欧
成果,成果
正解,正确答案
政界,政界
性格,性格
正確,正确
生活,生活
正規,正规
世紀,世纪
生気,生气
正義,正义
請求,要求
盛況,盛况
税金,税金
生計,生计
清潔,清洁
政権,政治权力
制限,限制
成功,成功
精巧,精巧
正座,正坐
精彩,精彩
制裁,制裁
製作，制作,制造
政策,政策
生産,生产
清算,结帐
精算,精算
静止,静止
生死,生死
制止,制止
政治,政治
正式,正式
性質,天性
誠実,诚实
成熟,成熟
青春,青春
清書,誊写
正常,正常
青少年,青少年
生殖,生殖
精神,精神
成人,成人
制する,制止
精精,最多
成績,成绩
清掃,清扫
盛装,盛装
製造,制造
生存,生存
生態,生态
盛大,盛大
贅沢,豪华
成長,成长
晴天,晴天
生徒,中学生
制度,制度
正当,公正
政党,政党
青年,青年
性能,功能
整備,配备
製品,产品
政府,政府
制服,制服
征服,征服
生物,生物
成分,成分
精密,精密
生命,生命
制約,限制
静養,静养
西洋,西洋
整理,整理
成立,成立
勢力,势力
正論,正确的言论
背負う,肩
世界,世界上
せかせか,急忙
席,座位
咳,咳嗽
籍,户籍
石炭,煤炭
責任,责任
惜別,惜别
石油,石油
急く,着急
世間,人世间
世辞,奉承
世事,世事
世相,世态
世帯,家庭
世代,世代
折角,费周折
せっかち,急躁
積極,积极
接近,接近
設計,设计
絶好,最好
絶交,绝交
切実,切实
摂取,摄取
折衝,谈判
接触,接触
接する,接壤
接続,结合
絶対,绝对
設置,设置
設定,设定
説得,说服
切ない,苦恼
切迫,紧迫
設備,设备
絶望,绝望
説明,说明
節約,节约
設立,设立
瀬戸際,关键时刻
背中,背
是非,是非
狭い,空间狭小
迫る,距离迫近
せめて,至少
攻める,攻击
責める,非难
台詞,台词
世話,照看
線,线
栓,拴
繊維,纤维
前衛,先锋
全快,痊愈
選挙,选举
占拠,占据
先月,上个月
宣言,宣言
戦後,第二次大战以后
前後,前面和后面
先行,先行
専攻,专业
選考,选拔人才
宣告,宣告
全国,全国
潜在,潜在
洗剤,洗涤剂
先日,上次
選手,选手
先週,上周
選出,选出
戦術,战术
善処,妥善处理
煎じる,煎
先進,先进
前進,前进
先生,老师
全盛,全盛
全然,一点也不
先祖,祖先
戦争,战争
喘息,哮喘
全体,全体
選択,选择
洗濯,洗涤
先端,顶尖
前提,前提
宣伝,宣传
前途,前途
先頭,开始
銭湯,澡堂
戦闘,战斗
専念,专心致志
先輩,先辈
船舶,船舶
選抜,选拔
前半,前半
全部,全部
選別,选择
全滅,全灭
専門,专业
戦略,战略
占領,占领
善良,善良
全力,全力
洗練,高雅
線路,线路
粗悪,简陋的
添う,陪伴
沿う,沿着
象,大象
相違,不同
相応,适合
騒音,嗓音
増加,增加
総会,全体大会
爽快,爽快
総画,汉字的笔画
総括,总结
創刊,创刊
早急,火速
増強,增强
送金,汇款
遭遇,遭遇
総計,总计
造詣,造诣
相互,相互
総合,综合
相克,相克
操作,操作机器
捜査,搜查
創作,文学创作
捜索,搜索
掃除,扫除
葬式,葬仪
喪失,丧失
装飾,装饰
騒然,骚然
早々,匆忙
創造,创造
想像,想象
相続,继承
早退,早退
相談,协商
装置,设备
相当,相配
騒動,骚动
遭難,遇难
雑煮,年糕汤
相場,市价
装備,装备
送別,送别
総理大臣,首相
創立,创立
僧侶,僧侣
添える,添加
疎遠,疏远
疎外,疏远
俗,普通
即座,立即
続出,连续发生
促進,促进
属する,属于
属性,属性
即席,当场
続続,陆续
速達,快件
速度,速度
束縛,抑制
側面,侧面
底,底部
其処,指距对方较近的场所
そこで,于是
損なう,伤害
損ねる,伤害
粗雑,马虎
阻止,阻止
組織,组织
素質,素质
そして,然后
謗る，誹る,诽谤
祖先,祖先
注ぐ,流入
唆す,挑唆
そそる,激起
育つ,成长
育てる,使……成长
措置,措施
そちら,那边
卒業,从学校毕业
素っ気無い,冷淡
率直,坦率
そっと,静悄悄地
卒倒,昏倒
袖,袖子
外,外面
備える,准备
備わる,备置
其の,那
そのまま,原原本本
側,旁边
聳える,高耸
祖父,祖父
祖母,祖母
素朴,朴素
粗末,简陋
染まる,染上
背く,违背
染める,染色
そよそよ,微微地吹
空,天
逸らす,转移
剃る,剃头
反る,翘起来
それ,那个
それだけ,那些
それで,那么
逸れる,偏离
揃う,汇集
揃える,使汇集
そろそろ,慢慢地
損害,损伤
尊敬,尊敬
存在,存在
ぞんざい,粗鲁
損失,损失
損じる,损失
存じる,“思う
尊重,尊重
損得,损益
存分,充分
田田,水
体育,体育
第一,第一
退院,出院
対応,相当于
体温,体温
退化,退化
大会,大会
対外,对外
大概,大部分
体格,体格
大学,大学
待機,等待时机
大気,大气
大規模,大规模
代金,贷款
待遇,待遇
退屈,无聊
体系,体系
対決,决战
体験,体验
太鼓,鼓
対抗,对立
大根,萝卜
滞在,停留
題材,题材
対策,对策
第三者,第三者
大使,大使
退治,消灭
大事,大事
大した,了不起
体質,体质
大衆,大众
体重,体重
対処,处理
対象,对象
対照,对比
大正,大正
退場,退会
大丈夫,安全
退職,离职
大臣,大臣
対する,相对
大勢,大势
体制,体制
耐性,抗药性
態勢,状态
体積,体积
大切,重要
体操,体操
大体,大体上
大胆,大胆
大抵,通常
態度,态度
対等,对等
台頭,抬头
大統領,总统
台無し,告吹
滞納,滞纳
退廃,颓废
大半,大半
代表,代表
大分,数量多
大部分,大部分
大変,够受的
逮捕,逮捕
待望,盼望已久
台本,脚本
怠慢,怠慢
対面,会面
題目,标题
太陽,太阳
代用,代用
平ら,平
代理,代理
大陸,大陆
対立,对立
体力,体力
対話,对话
唾液,唾液
絶える,结束
耐える,忍耐
倒す,打倒
倒れる,倒塌
高い,高
互いに,相互
高ぶる,兴奋
高まる,变高
高める,提高
耕す,耕
宝,财宝
薪,木柴
妥協,妥协
炊く,煮饭
焚く,烧
抱く,抱
沢庵,萝卜咸菜
類,同类
沢山,众多
逞しい,体格健壮
巧み,巧妙
企む,打算
蓄える,储备
竹,竹
丈,高度
打撃,打击
妥結,妥协
長ける,擅长
凧,风筝
蛸,章鱼
胼胝,胼胝
多彩,丰富多彩的
打算,打算
確か,确实
確める,确认
出し抜く,乘机
出し抜け,出乎意料
多少,多少
足す,加上
出す,拿出
多数,多数
助かる,被救
助ける,救助
尋ねる,寻找
訪ねる,访问
ただ,普通的
ただ,唯
只今,现在
湛える,装满
戦う，闘う,打仗
叩く,拍
正しい,正确的
正す,订正
佇まい,形态
佇む,伫立
畳,榻榻米
畳む,折叠
漂う,漂流
質,人的体质
立ち会う,到场
立ち上がる,起立
立ち止る,站住
立場,立场
忽ち,立刻
立ち回る,行动
立つ,竖立
絶つ,断绝
断つ,剪断
建つ,建起
達者,健壮
達する,到达
脱線,脱轨
脱落,脱落
盾,盾
縦,竖
伊達,侠气
立て直す,重新竖起
建て直す,改建
建前,主义
建物,建筑物
立てる，建てる,建造
妥当,妥当
例えば,例如
例える，喩える,比喻
たどたどしい,不熟练
辿る,沿着前进
棚,架
谷,山谷
他人,他人
狸,狸
種,种子
楽しい,快乐
楽しむ,享受
頼む,享受
束,把
旅,旅行
足袋,日本式布袜子
度,时候
度度,多次
だぶだぶ,过多
多分,也许
食べる,吃
多忙,很忙
玉,球
弾,子弹
卵,鸡蛋
魂,灵魂
騙す,欺骗
たまに,偶尔
偶々,有时
賜物,赐予物
溜まる,聚集
貯まる,积攒
堪る,忍受
黙る,沉默
賜る,赏赐
為,有益
駄目,无用
溜息,叹气
試す,试验
躊躇う,踌躇不前
溜める,积蓄
多面,多方面
保つ,保
袂,和服袖
多様,多种多样的
便り,消息
頼る,投靠
堕落,堕落
だらけ,满是
だらしない,散漫
垂らす,垂下
足りる,足够
怠い,倦怠
弛む,放松
誰,谁
垂れる,悬垂
他愛無い,无聊
戯れる,玩弄
弾圧,镇压
単位,单位
短歌,短歌
段階,等级
団結,团结
探検,探险
単元,单元
単語,单词
断固,果断
団子,米面作的丸子
男子,男孩
短縮,缩短
単純,单纯
短所,缺点
男女,男女
誕生,出生
単身,单身
箪笥,衣柜
淡水,淡水
男性,男性
断絶,结束
炭素,碳
短大,短期大学
団体,团体
